source_id,scenario_id,citation_key,title,author_or_institution,source_type,publication_year,source_date_range,url,local_file,licence_or_usage_note,retrieved_date,geographic_scope,authority_scope,notes,global_source_id
src_9d6f03b5c85f,seven_years_war_1756_08_01,vaugondy_1756_haute_saxe_bnf,"Partie meridionale du cercle de Haute Saxe ... par le Sr. Robert, 1756",Gilles Robert de Vaugondy; Bibliotheque nationale de France,PRIMARY_MAP,1756,1756,https://gallica.bnf.fr/ark:/12148/btv1b530412497,data/raw/historical_maps/vaugondy_1756/vaugondy_1756_haute_saxe_btv1b530412497.jpg,"public domain (PD-France, PD-US-expired)",2026-08-12,southern Upper Saxon Circle,1756 territorial outlines and territory names of the southern Upper Saxon Circle,scenario-local mirror of global historical source hsrc_34735c52ef0d; canonical territorial_control.source_id stays in the scenario src_ namespace while the full hsrc_/hev_/hbf_ bundle lives in territorial_control_provenance.csv,hsrc_34735c52ef0d
src_991491082cb6,seven_years_war_1756_08_01,ndb_24_2010_schwarzburg_grafen_von,"Schwarzburg, Grafen von (Neue Deutsche Biographie 24)",Andreas Klinger / Deutsche Biographie,SCHOLARLY_REFERENCE,2010,1195/1918,https://www.deutsche-biographie.de/sfz120055.html,,"cited, not reproduced",2026-08-13,Thuringia,POLITY_MODEL_ONLY,MAPGEN-014 authority for the Schwarzburg partition.,hsrc_a5816e9281d6
src_6727db01650d,seven_years_war_1756_08_01,landesarchiv_thueringen_landesregierung_eisenach_b26508,"Landesregierung Eisenach (Bestand 26508), Landesarchiv Thueringen",Landesarchiv Thueringen,ARCHIVAL_FINDING_AID,2024,1640/1850,http://www.archive-in-thueringen.de/de/findbuch/view/bestand/26508/vorwort/1,,"cited, not reproduced",2026-08-13,Saxe-Eisenach,POLITY_MODEL_ONLY,MAPGEN-015 authority for the separate Eisenach administration.,hsrc_d43582bd894f
src_a5e79acac0af,seven_years_war_1756_08_01,ieg_mainz_hgisg_sachsen_weimar_eisenach,IEG-Mainz eKompendium HGISG: Sachsen-Weimar-Eisenach,Institut fuer Europaeische Geschichte Mainz,SCHOLARLY_REFERENCE,2011,1741/1918,https://www.hgisg-ekompendium.ieg-mainz.de/Dokumentation_Datensaetze/Multimedia/Staaten/Sachsen-Weimar-Eisenach.php,,"cited, not reproduced",2026-08-13,Thuringia,POLITY_MODEL_ONLY,MAPGEN-016 direct basis for the 1741 accession.,hsrc_aff64e52a076
src_4482b8a1fda7,seven_years_war_1756_08_01,legislation_gov_uk_apgb,legislation.gov.uk - Acts of the Parliament of Great Britain and Acts of the English Parliament,The National Archives (UK),PRIMARY_LEGISLATION,2026,1706-1800,https://www.legislation.gov.uk/,,OGL v3.0 / Oireachtas permission / ODbL,2026-08-15,Great Britain,POLITICAL_AUTHORITY,MAPGEN-021 British Isles coast-bounded production,hsrc_7c6f3e8a56e3
src_155e0bd3c5fd,seven_years_war_1756_08_01,irish_statute_book_pre_union,"electronic Irish Statute Book (eISB), Pre-1922 Legislation",Office of the Attorney General (Ireland),PRIMARY_LEGISLATION,2026,1310-1800,https://www.irishstatutebook.ie/eli/pre-acts.html,,OGL v3.0 / Oireachtas permission / ODbL,2026-08-15,Ireland,POLITICAL_AUTHORITY,MAPGEN-021 British Isles coast-bounded production,hsrc_a844d4767e20
src_512781f2bf51,seven_years_war_1756_08_01,osm_land_polygons_split_3857,OpenStreetMap coastline-derived land polygons (land-polygons-split-3857),OpenStreetMap contributors,PHYSICAL_GEOGRAPHY_SUBSTRATE,2024,2024,https://osmdata.openstreetmap.de/data/land-polygons.html,,OGL v3.0 / Oireachtas permission / ODbL,2026-08-15,Global (Europe subset),GEOMETRY_SUBSTRATE_ONLY,MAPGEN-021 British Isles coast-bounded production,hsrc_a01a2b3eef3d
src_956473e99bfa,seven_years_war_1756_08_01,guida_generale_archivi_stato_palermo,Guida generale degli Archivi di Stato italiani - Archivio di Stato di Palermo,Ministero della Cultura (Italy),ARCHIVAL_FINDING_AID,2026,1718-1868,http://www.guidageneralearchivistato.beniculturali.it/,,Public institutional finding aid / cited instrument; not redistributed.,2026-08-15,Kingdom of Sicily,POLITICAL_AUTHORITY,MAPGEN-022 Mediterranean coast-bounded production,hsrc_585c749941c5
src_e613b4c08480,seven_years_war_1756_08_01,sias_archivio_di_stato_cagliari,"SIAS - Sistema Informativo degli Archivi di Stato, Archivio di Stato di Cagliari",Ministero della Cultura (Italy),ARCHIVAL_FINDING_AID,2026,1718-1868,https://sias-archivi.cultura.gov.it/,,Public institutional finding aid / cited instrument; not redistributed.,2026-08-15,Kingdom of Sardinia (island),POLITICAL_AUTHORITY,MAPGEN-022 Mediterranean coast-bounded production,hsrc_4ffa40da6904
src_937164b1bea3,seven_years_war_1756_08_01,european_peace_settlements_1720_1738,The peace settlements of 1720 (The Hague) and 1738 (Vienna) governing the Mediterranean island exchanges,European diplomatic instruments,TREATY_SETTLEMENT,2026,1718-1868,,,Public institutional finding aid / cited instrument; not redistributed.,2026-08-15,Sicily and Sardinia,POLITICAL_AUTHORITY,MAPGEN-022 Mediterranean coast-bounded production,hsrc_1405c6fc82b4
src_d2fe7f270fcb,seven_years_war_1756_08_01,lovsamling_for_island_i,"Lovsamling for Island I (1096-1720), Copenhagen 1853",Oddgeir Stephensen og Jon Sigurdsson (eds.),DOCUMENTARY_EDITION,1853,1096-1720,https://archive.org/details/lovsamlingforis07hallgoog,,"Public institutional source / documentary edition; cited, not redistributed.",2026-08-15,Iceland,POLITICAL_AUTHORITY,MAPGEN-023 coast-bounded production batch,hsrc_d29599d7a12a
src_0a5f317409b6,seven_years_war_1756_08_01,thjodskjalasafn_skjalasafn_amtmanns,"Thjodskjalasafn Islands, Skjalasafn amtmanns yfir landinu ollu 1688-1770",Thjodskjalasafn Islands,ARCHIVAL_FONDS,2011,1688-1770,https://heimildir.is/wp-content/uploads/r_skjalasafn_amtmanns.pdf,,"Public institutional source / documentary edition; cited, not redistributed.",2026-08-15,Iceland,POLITICAL_AUTHORITY,MAPGEN-023 coast-bounded production batch,hsrc_c8be7c4cd248
src_800fec18dd5f,seven_years_war_1756_08_01,charles_v_privilege_1530_malta_gozo,"Privilege of Charles V, 23 March 1530, granting Malta and Gozo and the fortress of Tripoli to the Order of Saint John",Charles V; critical study by A. Cieslak (2002),PRIMARY_INSTRUMENT,2002,1530-1798,https://ojs.tnkul.pl/index.php/rh/article/view/4703,,"Public institutional source / documentary edition; cited, not redistributed.",2026-08-15,Maltese islands,POLITICAL_AUTHORITY,MAPGEN-023 coast-bounded production batch,hsrc_1934f8f4d778
src_5761c4691f71,seven_years_war_1756_08_01,aom_national_library_of_malta,"Archives of the Order of Malta (AOM), National Library of Malta",National Library of Malta,ARCHIVAL_FONDS,2026,1346-1798,https://hmml.org/collections/repositories/malta/national-library-of-malta/,,"Public institutional source / documentary edition; cited, not redistributed.",2026-08-15,Maltese islands,POLITICAL_AUTHORITY,MAPGEN-023 coast-bounded production batch,hsrc_455c4d5a91ef
src_91884171a903,seven_years_war_1756_08_01,malta_government_printing_press_history,"Press History, Government Printing Press, Government of Malta",Government of Malta,GOVERNMENT_INSTITUTIONAL_HISTORY,2026,1642-1800,https://printingpress.gov.mt/en/the-department/press-history/,,"Public institutional source / documentary edition; cited, not redistributed.",2026-08-15,Maltese islands,POLITICAL_AUTHORITY,MAPGEN-023 coast-bounded production batch,hsrc_85ec23a20d58
src_13fee2089615,seven_years_war_1756_08_01,wenck_codex_juris_gentium_recentissimi_i,"Wenck, Codex iuris gentium recentissimi, tom. I (Lipsiae 1781)",Friedrich August Wilhelm Wenck,DOCUMENTARY_EDITION,1781,1735-1743,https://archive.org/details/fridaugguilwenck13wenc,,"Public institutional source / documentary edition; cited, not redistributed.",2026-08-15,Sicily,POLITICAL_AUTHORITY,MAPGEN-023 coast-bounded production batch,hsrc_3a87623ff865
src_3fd723093f1a,seven_years_war_1756_08_01,asto_corte_paesi_sardegna,"Archivio di Stato di Torino, Sezione Corte, Paesi - Sardegna",Archivio di Stato di Torino,ARCHIVAL_FONDS,2026,1323-1848,https://archiviodistatotorino.cultura.gov.it/,,"Public institutional source / documentary edition; cited, not redistributed.",2026-08-15,Kingdom of Sardinia (island),POLITICAL_AUTHORITY,MAPGEN-023 coast-bounded production batch,hsrc_a7c2cd195764
src_787a241b7b64,seven_years_war_1756_08_01,lerouge_1756_atlas_portatif_espagne_portugal,"Georges-Louis Le Rouge, Atlas nouveau portatif, Tome 1er, plate Espagne et Portugal (Paris 1756)",Georges-Louis Le Rouge,HISTORICAL_MAP,1756,1756-1756,"https://commons.wikimedia.org/wiki/File:Atlas_nouveau_portatif_a_l%27usage_des_militaires,_colleges_et_du_voyageur._Tome_1_1756_(106354248).jpg",,"Public institutional source / documentary edition; cited, not redistributed. The Le Rouge raster is public domain and is gitignored, never committed.",2026-08-16,Iberian peninsula,BOUNDARY_GEOMETRY,MAPGEN-026 Iberian mainland safe-interior batch,hsrc_4c13f0498990
src_40f8a185acaf,seven_years_war_1756_08_01,gaceta_de_madrid_1756_08_03_num31,"Gaceta de Madrid, num. 31, 3 de agosto de 1756, pp. 241-248","Imprenta de la Gaceta, Madrid, con privilegio",OFFICIAL_GAZETTE,1756,1756-1756,https://www.boe.es/gazeta/dias/1756/08/03/pdfs/GMD-1756-31.pdf,,"Public institutional source / documentary edition; cited, not redistributed. The Le Rouge raster is public domain and is gitignored, never committed.",2026-08-16,Kingdom of Spain,POLITICAL_AUTHORITY,MAPGEN-026 Iberian mainland safe-interior batch,hsrc_ea6236627f6a
src_3178b5df9319,seven_years_war_1756_08_01,bnd_alvara_1756_09_10_companhia_alto_douro,"Alvara de 10 de Setembro de 1756, Companhia Geral da Agricultura das Vinhas do Alto Douro",D. Jose I; Biblioteca Nacional de Portugal,PRIMARY_ACT_VIA_FACSIMILE,1756,1756-1756,https://purl.pt/41153,,"Public institutional source / documentary edition; cited, not redistributed. The Le Rouge raster is public domain and is gitignored, never committed.",2026-08-16,Kingdom of Portugal,POLITICAL_AUTHORITY,MAPGEN-026 Iberian mainland safe-interior batch,hsrc_ae63ba215fe7
src_b2129cc95984,seven_years_war_1756_08_01,dumont_corps_universel_diplomatique_viii,"Jean Dumont, Corps universel diplomatique du droit des gens, tome VIII (1731)",Jean Dumont,DOCUMENTARY_EDITION,1731,1713-1713,https://gallica.bnf.fr/ark:/12148/bpt6k1229594,,"Public institutional source / documentary edition; cited, not redistributed. The Le Rouge raster is public domain and is gitignored, never committed.",2026-08-16,European treaties,POLITICAL_AUTHORITY,MAPGEN-026 Iberian mainland safe-interior batch,hsrc_42e31fb64513
src_7b7dd2cbecf9,seven_years_war_1756_08_01,lynch_bourbon_spain_1700_1808,"John Lynch, Bourbon Spain 1700-1808 (Blackwell 1989)",John Lynch,ACADEMIC_REFERENCE,1989,1700-1808,,,"Public institutional source / documentary edition; cited, not redistributed. The Le Rouge raster is public domain and is gitignored, never committed.",2026-08-16,Kingdom of Spain,POLITICAL_AUTHORITY,MAPGEN-026 Iberian mainland safe-interior batch,hsrc_6d03c3d9c9f5
src_50453c160945,seven_years_war_1756_08_01,maxwell_pombal_paradox_of_enlightenment,"Kenneth Maxwell, Pombal: Paradox of the Enlightenment (CUP 1995)",Kenneth Maxwell,ACADEMIC_REFERENCE,1995,1750-1777,,,"Public institutional source / documentary edition; cited, not redistributed. The Le Rouge raster is public domain and is gitignored, never committed.",2026-08-16,Kingdom of Portugal,POLITICAL_AUTHORITY,MAPGEN-026 Iberian mainland safe-interior batch,hsrc_cc5fb2871250
src_9956869b74a2,seven_years_war_1756_08_01,vaugondy_portugal_1751_two_sheet_uc,"Gilles Robert de Vaugondy, Partie Septentrionle du Royaume de Portugal; Partie Meridionale du Royaume de Portugal, 1751, two sheets",Gilles Robert de Vaugondy,HISTORICAL_MAP,1751,1751-1751,https://am.uc.pt/bib-geral/item/55828,data/raw/uc_coimbra_portugal_1751/UCBG-NC-0681.pdf,"Universidade de Coimbra, Biblioteca Geral Digital, CC BY 4.0",2026-08-16,Kingdom of Portugal,BOUNDARY_GEOMETRY,MAPGEN-028 Portugal safe interior v3; positional uncertainty 12.33 km against 34.61 km for the Le Rouge plate,hsrc_c61726597ef3
