region,rank_by_area,part_index,ground_area_km2,centroid_lon,centroid_lat,named_identification,exclusion_reason,note
iceland,11,3684,10.17,-6.82503,61.76652,Faroe Islands,SEPARATE_HOMAGE_SEPARATE_TERRITORY_NOT_ICELAND,"The Faroes swore their own hereditary homage at Thorshavn on 14 August 1662, seventeen days after Iceland swore at Kopavogur. Same crown, separate act, separate territory: they are NOT inherited from the Iceland bundle and are not produced by this stage."
iceland,12,3222,7.51,-18.38364,65.99836,Hrisey,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
iceland,13,3760,9.7,-7.59455,62.10405,Faroe Islands,SEPARATE_HOMAGE_SEPARATE_TERRITORY_NOT_ICELAND,"The Faroes swore their own hereditary homage at Thorshavn on 14 August 1662, seventeen days after Iceland swore at Kopavogur. Same crown, separate act, separate territory: they are NOT inherited from the Iceland bundle and are not produced by this stage."
iceland,14,3286,4.39,-18.00166,66.54406,Grimsey,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
iceland,15,3694,5.93,-6.89511,61.95278,Faroe Islands,SEPARATE_HOMAGE_SEPARATE_TERRITORY_NOT_ICELAND,"The Faroes swore their own hereditary homage at Thorshavn on 14 August 1662, seventeen days after Iceland swore at Kopavogur. Same crown, separate act, separate territory: they are NOT inherited from the Iceland bundle and are not produced by this stage."
iceland,16,1404,3.78,-22.47174,65.07941,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
iceland,17,3241,2.61,-17.85784,66.16488,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
iceland,18,1737,2.78,-22.421,64.74154,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
iceland,19,2132,2.57,-22.3493,64.52586,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
iceland,20,885,2.05,-22.63892,65.17153,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
iceland,21,3699,2.3,-6.98325,61.99052,Faroe Islands,SEPARATE_HOMAGE_SEPARATE_TERRITORY_NOT_ICELAND,"The Faroes swore their own hereditary homage at Thorshavn on 14 August 1662, seventeen days after Iceland swore at Kopavogur. Same crown, separate act, separate territory: they are NOT inherited from the Iceland bundle and are not produced by this stage."
iceland,22,3223,1.53,-19.53728,66.01616,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
iceland,23,3383,1.61,-14.16786,64.59223,Papey,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
iceland,24,2528,1.6,-22.20031,64.47047,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
iceland,25,1035,1.51,-22.60048,65.11853,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
iceland,26,2931,1.55,-21.85153,64.16502,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
iceland,27,1473,1.29,-22.4984,65.1521,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
iceland,28,1416,1.25,-22.50016,65.08888,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
iceland,29,1091,1.21,-22.57707,65.18942,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
iceland,30,2921,1.34,-20.60331,63.3028,Surtsey;Vestmannaeyjar archipelago,LAND_THAT_DID_NOT_EXIST_AT_THE_SNAPSHOT,Surtsey rose from the sea in the eruption of 1963-1967. It is present in the modern coastline and must never be assigned in a 1756 snapshot - the clearest possible case of why present-day geometry is substrate and not history.
iceland,31,866,1.09,-22.6707,65.1482,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
iceland,32,973,0.93,-22.66068,66.09941,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
iceland,33,1559,0.97,-22.46135,65.07117,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
iceland,34,2133,0.95,-22.34511,64.55164,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
iceland,35,1383,0.86,-22.50511,65.06329,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
iceland,36,1248,0.78,-22.52112,65.13679,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
iceland,37,3365,0.67,-14.53189,64.56395,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
iceland,38,625,0.63,-22.74991,65.07721,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
iceland,39,2589,0.65,-22.23639,64.52716,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
iceland,40,1233,0.59,-22.56347,65.1265,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
iceland,41,2233,0.57,-22.35371,65.29701,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
iceland,42,3037,0.51,-21.3973,65.68449,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
iceland,43,279,0.5,-22.91287,65.37506,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
iceland,44,3737,0.61,-7.4351,62.07785,Faroe Islands,SEPARATE_HOMAGE_SEPARATE_TERRITORY_NOT_ICELAND,"The Faroes swore their own hereditary homage at Thorshavn on 14 August 1662, seventeen days after Iceland swore at Kopavogur. Same crown, separate act, separate territory: they are NOT inherited from the Iceland bundle and are not produced by this stage."
iceland,45,1252,0.48,-22.54501,65.14044,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
iceland,46,391,0.44,-22.82988,66.05541,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
iceland,47,3198,0.5,-15.37891,64.25086,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
iceland,48,1731,0.42,-22.44921,65.97124,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
iceland,49,1572,0.43,-22.45475,65.0887,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
iceland,50,2934,0.46,-21.78523,64.18338,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
iceland,51,932,0.38,-22.64204,65.44295,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
iceland,52,207,0.39,-22.85393,65.01238,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
iceland,53,3369,0.39,-14.56181,64.56751,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
iceland,54,423,0.36,-22.81884,65.37224,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
iceland,55,3184,0.4,-20.17587,63.46553,Vestmannaeyjar archipelago,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,Heimaey is a separate component and its authority was not researched for this stage. It is also physically altered: the 1973 Eldfell eruption extended the island's east side.
iceland,56,1849,0.34,-22.4293,65.13895,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
iceland,57,2933,0.36,-21.91631,64.17159,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
iceland,58,3504,0.41,-7.67333,62.09843,Faroe Islands,SEPARATE_HOMAGE_SEPARATE_TERRITORY_NOT_ICELAND,"The Faroes swore their own hereditary homage at Thorshavn on 14 August 1662, seventeen days after Iceland swore at Kopavogur. Same crown, separate act, separate territory: they are NOT inherited from the Iceland bundle and are not produced by this stage."
iceland,59,1178,0.33,-22.53245,64.78195,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
