scenario_id,candidate_name,canonical_candidate_id,region,historical_entity_type,inclusion_status,included_polity_id,reason,source_id,source_confidence,six_km_representation_risk,recommended_future_representation,notes
seven_years_war_1756_08_01,Republic of Venice,cand_venice,ITALY,REPUBLIC,INCLUDED,pol_venice,Meets inclusion policy v1: politically distinct 1756 actor documented in the registered sources.,src_497229e79aa1,HIGH,MULTIPART,MULTIPART_HEX_TERRITORY,Terraferma + Adriatic/Ionian possessions.
seven_years_war_1756_08_01,Republic of Genoa,cand_genoa,ITALY,REPUBLIC,INCLUDED,pol_genoa,Meets inclusion policy v1: politically distinct 1756 actor documented in the registered sources.,src_497229e79aa1,HIGH,MULTIPART,MULTIPART_HEX_TERRITORY,Includes Corsica de jure; the island's contested state in 1756 is tracked as a separate UNRESOLVED audit candidate.
seven_years_war_1756_08_01,Grand Duchy of Tuscany,cand_tuscany,ITALY,GRAND_DUCHY,INCLUDED,pol_tuscany,Meets inclusion policy v1: politically distinct 1756 actor documented in the registered sources.,src_497229e79aa1,HIGH,NONE,STANDARD_HEX_TERRITORY,Held by Francis Stephen of Lorraine (Holy Roman Emperor). Its constitutional tie to the Habsburg complex is deliberately UNEVALUATED here — no relationship row is asserted.
seven_years_war_1756_08_01,Papal States,cand_papal_states,ITALY,ECCLESIASTICAL_MONARCHY,INCLUDED,pol_papal_states,Meets inclusion policy v1: politically distinct 1756 actor documented in the registered sources.,src_497229e79aa1,HIGH,ENCLAVE_COMPLEX,HEX_PLUS_ENCLAVE_OVERLAY,Includes exclaves (Benevento/Pontecorvo inside Naples; Avignon and the Comtat inside France).
seven_years_war_1756_08_01,Kingdom of Naples,cand_naples,ITALY,KINGDOM,INCLUDED,pol_naples,Meets inclusion policy v1: politically distinct 1756 actor documented in the registered sources.,src_497229e79aa1,HIGH,NONE,STANDARD_HEX_TERRITORY,Bourbon kingdom in personal union with Sicily under Charles.
seven_years_war_1756_08_01,Kingdom of Sicily,cand_sicily,ITALY,KINGDOM,INCLUDED,pol_sicily,Meets inclusion policy v1: politically distinct 1756 actor documented in the registered sources.,src_497229e79aa1,HIGH,NONE,STANDARD_HEX_TERRITORY,Separate kingdom sharing its monarch with Naples (personal union).
seven_years_war_1756_08_01,"Duchy of Parma, Piacenza and Guastalla",cand_parma,ITALY,DUCHY,INCLUDED,pol_parma,Meets inclusion policy v1: politically distinct 1756 actor documented in the registered sources.,src_497229e79aa1,MEDIUM,UNKNOWN,DECIDE_LATER,Bourbon secundogeniture; representability not yet assessed against an atlas source.
seven_years_war_1756_08_01,Duchy of Modena and Reggio,cand_modena,ITALY,DUCHY,INCLUDED,pol_modena,Meets inclusion policy v1: politically distinct 1756 actor documented in the registered sources.,src_497229e79aa1,MEDIUM,UNKNOWN,DECIDE_LATER,
seven_years_war_1756_08_01,Holy Roman Empire,cand_holy_roman_empire,HRE_GERMANY,IMPERIAL_LEGAL_STRUCTURE,STRUCTURAL_ONLY,pol_holy_roman_empire,Structural container registered without territorial authority.,src_2a22eae2a6c2,HIGH,NONE,STANDARD_HEX_TERRITORY,"Constitutional/legal structure of the German lands. STRUCTURAL CONTAINER ONLY: the Empire is NOT the owner or controller of member territory, and no territorial control may ever be derived from imperial membership."
seven_years_war_1756_08_01,Habsburg Monarchy,cand_habsburg_monarchy,HABSBURG_LANDS,COMPOSITE_MONARCHY,INCLUDED,pol_habsburg_monarchy,Meets inclusion policy v1: politically distinct 1756 actor documented in the registered sources.,src_0478d4eda69b,HIGH,MULTIPART,MULTIPART_HEX_TERRITORY,"Composite monarchy of Maria Theresa acting as a single European power; constituents modeled via COMPOSITE_MEMBER_OF, never as one modern-Austria polygon."
seven_years_war_1756_08_01,Kingdom of Bohemia,cand_bohemia,HABSBURG_LANDS,KINGDOM,INCLUDED,pol_bohemia,Meets inclusion policy v1: politically distinct 1756 actor documented in the registered sources.,src_0478d4eda69b,HIGH,NONE,STANDARD_HEX_TERRITORY,Bohemian crown lands; imperial electorate.
seven_years_war_1756_08_01,Kingdom of Hungary,cand_hungary,HABSBURG_LANDS,KINGDOM,INCLUDED,pol_hungary,Meets inclusion policy v1: politically distinct 1756 actor documented in the registered sources.,src_0478d4eda69b,HIGH,NONE,STANDARD_HEX_TERRITORY,Hungarian crown lands under the Habsburg monarch; OUTSIDE the Holy Roman Empire (no IMPERIAL_MEMBER_OF row on purpose).
seven_years_war_1756_08_01,Archduchy of Austria,cand_austria_archduchy,HABSBURG_LANDS,ARCHDUCHY,INCLUDED,pol_austria_archduchy,Meets inclusion policy v1: politically distinct 1756 actor documented in the registered sources.,src_0478d4eda69b,HIGH,NONE,STANDARD_HEX_TERRITORY,Core Austrian hereditary lands (simplified aggregate of the Erblande at catalogue stage; finer division deferred).
seven_years_war_1756_08_01,Duchy of Milan,cand_milan,ITALY,DUCHY,INCLUDED,pol_milan,Meets inclusion policy v1: politically distinct 1756 actor documented in the registered sources.,src_0478d4eda69b,HIGH,NONE,STANDARD_HEX_TERRITORY,Habsburg Lombardy; imperial fief.
seven_years_war_1756_08_01,Prussian Monarchy (Hohenzollern lands),cand_prussia_monarchy,HRE_GERMANY,COMPOSITE_MONARCHY,INCLUDED,pol_prussia_monarchy,Meets inclusion policy v1: politically distinct 1756 actor documented in the registered sources.,src_d756921e5f15,HIGH,MULTIPART,MULTIPART_HEX_TERRITORY,Modeling construct per Clark: the composite of Hohenzollern territories acting as one monarchy under Frederick II. NOT generated from modern Germany; constituents keep their legal identities.
seven_years_war_1756_08_01,Margraviate of Brandenburg (Electorate),cand_brandenburg,HRE_GERMANY,ELECTORATE,INCLUDED,pol_brandenburg,Meets inclusion policy v1: politically distinct 1756 actor documented in the registered sources.,src_d756921e5f15,HIGH,NONE,STANDARD_HEX_TERRITORY,Electorate inside the Empire.
seven_years_war_1756_08_01,Kingdom of Prussia (East Prussia),cand_prussia_kingdom_proper,EASTERN_EUROPE,KINGDOM,INCLUDED,pol_prussia_kingdom_proper,Meets inclusion policy v1: politically distinct 1756 actor documented in the registered sources.,src_d756921e5f15,HIGH,NONE,STANDARD_HEX_TERRITORY,Royal title territory OUTSIDE the Holy Roman Empire.
seven_years_war_1756_08_01,Electorate of Saxony,cand_saxony,HRE_GERMANY,ELECTORATE,INCLUDED,pol_saxony,Meets inclusion policy v1: politically distinct 1756 actor documented in the registered sources.,src_cf694f0b686f,HIGH,NONE,STANDARD_HEX_TERRITORY,Ruled by Augustus III in personal union with Poland-Lithuania; the two territories are NEVER merged.
seven_years_war_1756_08_01,Electorate of Bavaria,cand_bavaria,HRE_GERMANY,ELECTORATE,INCLUDED,pol_bavaria,Meets inclusion policy v1: politically distinct 1756 actor documented in the registered sources.,src_2a22eae2a6c2,HIGH,NONE,STANDARD_HEX_TERRITORY,
seven_years_war_1756_08_01,Electorate of the Palatinate,cand_palatinate,HRE_GERMANY,ELECTORATE,INCLUDED,pol_palatinate,Meets inclusion policy v1: politically distinct 1756 actor documented in the registered sources.,src_2a22eae2a6c2,HIGH,ENCLAVE_COMPLEX,HEX_PLUS_ENCLAVE_OVERLAY,Scattered Rhenish territories.
seven_years_war_1756_08_01,Electorate of Cologne,cand_cologne,HRE_GERMANY,ELECTORATE,INCLUDED,pol_cologne,Meets inclusion policy v1: politically distinct 1756 actor documented in the registered sources.,src_2a22eae2a6c2,HIGH,ENCLAVE_COMPLEX,HEX_PLUS_ENCLAVE_OVERLAY,Ecclesiastical electorate.
seven_years_war_1756_08_01,Electorate of Mainz,cand_mainz,HRE_GERMANY,ELECTORATE,INCLUDED,pol_mainz,Meets inclusion policy v1: politically distinct 1756 actor documented in the registered sources.,src_2a22eae2a6c2,HIGH,ENCLAVE_COMPLEX,HEX_PLUS_ENCLAVE_OVERLAY,Ecclesiastical electorate.
seven_years_war_1756_08_01,Electorate of Trier,cand_trier,HRE_GERMANY,ELECTORATE,INCLUDED,pol_trier,Meets inclusion policy v1: politically distinct 1756 actor documented in the registered sources.,src_2a22eae2a6c2,HIGH,ENCLAVE_COMPLEX,HEX_PLUS_ENCLAVE_OVERLAY,Ecclesiastical electorate.
seven_years_war_1756_08_01,Duchy of Württemberg,cand_wurttemberg,HRE_GERMANY,DUCHY,INCLUDED,pol_wurttemberg,Meets inclusion policy v1: politically distinct 1756 actor documented in the registered sources.,src_2a22eae2a6c2,HIGH,ENCLAVE_COMPLEX,HEX_PLUS_ENCLAVE_OVERLAY,Embedded in the Swabian territorial mosaic.
seven_years_war_1756_08_01,Landgraviate of Hesse-Kassel,cand_hesse_kassel,HRE_GERMANY,LANDGRAVIATE,INCLUDED,pol_hesse_kassel,Meets inclusion policy v1: politically distinct 1756 actor documented in the registered sources.,src_cf694f0b686f,HIGH,MULTIPART,MULTIPART_HEX_TERRITORY,Seven Years War belligerent.
seven_years_war_1756_08_01,Duchy of Mecklenburg-Schwerin,cand_mecklenburg_schwerin,HRE_GERMANY,DUCHY,INCLUDED,pol_mecklenburg_schwerin,Meets inclusion policy v1: politically distinct 1756 actor documented in the registered sources.,src_2a22eae2a6c2,HIGH,NONE,STANDARD_HEX_TERRITORY,
seven_years_war_1756_08_01,Principality of Brunswick-Wolfenbüttel,cand_brunswick_wolfenbuettel,HRE_GERMANY,PRINCIPALITY,INCLUDED,pol_brunswick_wolfenbuettel,Meets inclusion policy v1: politically distinct 1756 actor documented in the registered sources.,src_cf694f0b686f,HIGH,MULTIPART,MULTIPART_HEX_TERRITORY,Seven Years War belligerent.
seven_years_war_1756_08_01,Kingdom of Denmark-Norway,cand_denmark_norway,NORDIC_BALTIC,COMPOSITE_MONARCHY,INCLUDED,pol_denmark_norway,Meets inclusion policy v1: politically distinct 1756 actor documented in the registered sources.,src_497229e79aa1,HIGH,MULTIPART,MULTIPART_HEX_TERRITORY,Twin kingdoms governed as one monarchy from Copenhagen; the Schleswig-Holstein condominium complexity is a separate UNRESOLVED audit candidate.
seven_years_war_1756_08_01,Kingdom of Sweden,cand_sweden,NORDIC_BALTIC,KINGDOM,INCLUDED,pol_sweden,Meets inclusion policy v1: politically distinct 1756 actor documented in the registered sources.,src_497229e79aa1,HIGH,MULTIPART,MULTIPART_HEX_TERRITORY,Includes Finland; German possession tracked as Swedish Pomerania.
seven_years_war_1756_08_01,Swedish Pomerania,cand_swedish_pomerania,HRE_GERMANY,DUCHY,INCLUDED,pol_swedish_pomerania,Meets inclusion policy v1: politically distinct 1756 actor documented in the registered sources.,src_cf694f0b686f,HIGH,NONE,STANDARD_HEX_TERRITORY,Held by the Swedish crown as an imperial fief — simultaneously a dependency of Sweden and a member territory of the Empire.
seven_years_war_1756_08_01,Russian Empire,cand_russia,EASTERN_EUROPE,EMPIRE,INCLUDED,pol_russia,Meets inclusion policy v1: politically distinct 1756 actor documented in the registered sources.,src_497229e79aa1,HIGH,NONE,STANDARD_HEX_TERRITORY,
seven_years_war_1756_08_01,Polish-Lithuanian Commonwealth,cand_plc,EASTERN_EUROPE,ELECTIVE_MONARCHY,INCLUDED,pol_plc,Meets inclusion policy v1: politically distinct 1756 actor documented in the registered sources.,src_497229e79aa1,HIGH,NONE,STANDARD_HEX_TERRITORY,Real union of the Polish Crown and the Grand Duchy of Lithuania treated as one Commonwealth actor; internal duality noted but not subdivided at catalogue stage.
seven_years_war_1756_08_01,Duchy of Courland and Semigallia,cand_courland,NORDIC_BALTIC,DUCHY,INCLUDED,pol_courland,Meets inclusion policy v1: politically distinct 1756 actor documented in the registered sources.,src_497229e79aa1,MEDIUM,NONE,STANDARD_HEX_TERRITORY,Fief of the Polish-Lithuanian Commonwealth.
seven_years_war_1756_08_01,Ottoman Empire,cand_ottoman,SOUTHEASTERN_EUROPE,EMPIRE,INCLUDED,pol_ottoman,Meets inclusion policy v1: politically distinct 1756 actor documented in the registered sources.,src_497229e79aa1,HIGH,NONE,STANDARD_HEX_TERRITORY,European sphere in scope for this catalogue; Anatolian/Arab lands out of scope at this stage.
seven_years_war_1756_08_01,Principality of Moldavia,cand_moldavia,SOUTHEASTERN_EUROPE,PRINCIPALITY,INCLUDED,pol_moldavia,Meets inclusion policy v1: politically distinct 1756 actor documented in the registered sources.,src_497229e79aa1,HIGH,NONE,STANDARD_HEX_TERRITORY,Ottoman tributary principality with internal autonomy.
seven_years_war_1756_08_01,Principality of Wallachia,cand_wallachia,SOUTHEASTERN_EUROPE,PRINCIPALITY,INCLUDED,pol_wallachia,Meets inclusion policy v1: politically distinct 1756 actor documented in the registered sources.,src_497229e79aa1,HIGH,NONE,STANDARD_HEX_TERRITORY,Ottoman tributary principality with internal autonomy.
seven_years_war_1756_08_01,Crimean Khanate,cand_crimea,EASTERN_EUROPE,KHANATE,INCLUDED,pol_crimea,Meets inclusion policy v1: politically distinct 1756 actor documented in the registered sources.,src_497229e79aa1,MEDIUM,NONE,STANDARD_HEX_TERRITORY,"Vassal khanate of the Ottoman Empire with wide autonomy; the exact legal framing is nuanced, hence MEDIUM."
seven_years_war_1756_08_01,Swiss Confederacy,cand_swiss_confederacy,ALPINE,CONFEDERATION,STRUCTURAL_ONLY,pol_swiss_confederacy,Structural container registered without territorial authority.,src_497229e79aa1,HIGH,NONE,STANDARD_HEX_TERRITORY,Confederal structure of thirteen cantons and associates. Registered STRUCTURAL_ONLY: whether cantons or the Confederacy become the gameplay territorial actor is deliberately undecided; cantons are tracked as an aggregation-candidate class.
seven_years_war_1756_08_01,Republic of Ragusa,cand_ragusa,SOUTHEASTERN_EUROPE,REPUBLIC,INCLUDED,pol_ragusa,Meets inclusion policy v1: politically distinct 1756 actor documented in the registered sources.,src_497229e79aa1,MEDIUM,UNKNOWN,DECIDE_LATER,Tributary of the Ottoman Empire.
seven_years_war_1756_08_01,Order of Saint John (Malta),cand_order_st_john,MEDITERRANEAN,MILITARY_RELIGIOUS_ORDER,INCLUDED,pol_order_st_john,Meets inclusion policy v1: politically distinct 1756 actor documented in the registered sources.,src_497229e79aa1,MEDIUM,MULTIPART,MULTIPART_HEX_TERRITORY,Sovereign military-religious order holding the Maltese islands.
seven_years_war_1756_08_01,"Free Imperial Cities of the Empire (class, ~50 cities incl. Hamburg, Frankfurt, Nuremberg, Augsburg)",cand_free_imperial_cities_class,HRE_GERMANY,FREE_IMPERIAL_CITY,AGGREGATION_CANDIDATE,,Real imperial estates; individually far below 6 km gameplay scale in most cases. Tracked as a class — individual promotion (e.g. Hamburg) possible in a later pass.,src_2a22eae2a6c2,HIGH,SUBHEX_REQUIRED,AGGREGATED_MINOR_STATES_LAYER,
seven_years_war_1756_08_01,Minor secular principalities and counties of the Empire (class),cand_minor_secular_hre_class,HRE_GERMANY,PRINCIPALITY,AGGREGATION_CANDIDATE,,"Hundreds of small estates; historical existence acknowledged, unconditional per-polity gameplay representation rejected.",src_2a22eae2a6c2,HIGH,SUBHEX_REQUIRED,AGGREGATED_MINOR_STATES_LAYER,
seven_years_war_1756_08_01,"Prince-bishoprics and imperial abbeys below electoral rank (class, incl. Münster, Würzburg, Bamberg, Salzburg tier)",cand_minor_ecclesiastical_hre_class,HRE_GERMANY,PRINCE_BISHOPRIC,AGGREGATION_CANDIDATE,,Mid-size members individually promotable later (several are larger than included small states); class-level tracking at this pass.,src_2a22eae2a6c2,HIGH,SUBHEX_LIKELY,AGGREGATED_MINOR_STATES_LAYER,
seven_years_war_1756_08_01,Imperial Knights' estates (class),cand_imperial_knights_class,HRE_GERMANY,KNIGHTLY_ESTATE,EXCLUDED_WITH_REASON,,"Non-state noble estates under direct imperial protection; below any territorial gameplay scale — excluded as polities, may appear later as overlay flavour.",src_2a22eae2a6c2,HIGH,SUBHEX_REQUIRED,HISTORICAL_POLITICAL_OVERLAY,
seven_years_war_1756_08_01,Republic of San Marino,cand_san_marino,ITALY,REPUBLIC,SUBHEX_REQUIRED,,Microstate republic; cannot be a 6 km hex territory — requires the future historical political overlay mechanism.,src_497229e79aa1,MEDIUM,SUBHEX_REQUIRED,HISTORICAL_POLITICAL_OVERLAY,
seven_years_war_1756_08_01,Principality of Monaco,cand_monaco,WESTERN_EUROPE,PRINCIPALITY,SUBHEX_REQUIRED,,Microstate under French protection; protectorate relationship to be asserted if/when included.,src_497229e79aa1,MEDIUM,SUBHEX_REQUIRED,HISTORICAL_POLITICAL_OVERLAY,
seven_years_war_1756_08_01,Principality of Andorra (co-principality),cand_andorra,IBERIA,CO_PRINCIPALITY,SUBHEX_REQUIRED,,Microstate co-principality.,src_497229e79aa1,MEDIUM,SUBHEX_REQUIRED,HISTORICAL_POLITICAL_OVERLAY,
seven_years_war_1756_08_01,Principality of Liechtenstein,cand_liechtenstein,HRE_GERMANY,PRINCIPALITY,SUBHEX_REQUIRED,,Imperial principality (1719); far below hex scale.,src_2a22eae2a6c2,MEDIUM,SUBHEX_REQUIRED,HISTORICAL_POLITICAL_OVERLAY,
seven_years_war_1756_08_01,Republic of Lucca,cand_lucca,ITALY,REPUBLIC,UNRESOLVED,,Small independent republic; inclusion decision deferred pending the Italian-theater representation scope decision.,src_497229e79aa1,MEDIUM,SUBHEX_LIKELY,DECIDE_LATER,
seven_years_war_1756_08_01,Duchies of Schleswig and Holstein (royal and Gottorp shares),cand_schleswig_holstein_complex,NORDIC_BALTIC,DUCHY_CONDOMINIUM,UNRESOLVED,,Condominium complexity: ducal Gottorp share linked to the Russian heir Peter; NOT resolved here — no guessed ownership.,src_497229e79aa1,MEDIUM,MULTIPART,DECIDE_LATER,
seven_years_war_1756_08_01,"Corsica (Genoese sovereignty, ongoing revolt)",cand_corsica,ITALY,CONTESTED_TERRITORY,UNRESOLVED,,"De jure Genoese; island in open revolt in the 1750s. Contested authority recorded as UNRESOLVED, not resolved by fiat.",src_497229e79aa1,MEDIUM,NONE,DECIDE_LATER,
seven_years_war_1756_08_01,Swiss cantons and associates (class of 13+ members),cand_swiss_cantons_class,ALPINE,CANTON,AGGREGATION_CANDIDATE,,Member cantons of the Confederacy; whether they or the Confederacy carry territory in gameplay is deferred.,src_497229e79aa1,HIGH,SUBHEX_LIKELY,DECIDE_LATER,
