evidence_id,scenario_id,source_id,evidence_type,target_type,target_id,confidence,interpretation_notes,source_locator,fact_summary,interpretation_level,notes
ev_2acea29798e2,seven_years_war_1756_08_01,src_497229e79aa1,POLITY_EXISTENCE,POLITY,pol_papal_states,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Papal States existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
ev_537a94e13a92,seven_years_war_1756_08_01,src_497229e79aa1,POLITY_EXISTENCE,POLITY,pol_naples,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Kingdom of Naples existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
ev_70770c8ce7b4,seven_years_war_1756_08_01,src_497229e79aa1,POLITY_EXISTENCE,POLITY,pol_sicily,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Kingdom of Sicily existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
ev_e5354656e222,seven_years_war_1756_08_01,src_497229e79aa1,POLITY_EXISTENCE,POLITY,pol_parma,MEDIUM,Existence of this 1756 polity as described in the cited work.,UNKNOWN,"Duchy of Parma, Piacenza and Guastalla existed as a political entity on 1756-08-01.",DIRECT,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
ev_f3228e97e109,seven_years_war_1756_08_01,src_497229e79aa1,POLITY_EXISTENCE,POLITY,pol_modena,MEDIUM,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Duchy of Modena and Reggio existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
ev_1d8a00dded12,seven_years_war_1756_08_01,src_2a22eae2a6c2,POLITY_EXISTENCE,POLITY,pol_holy_roman_empire,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Holy Roman Empire existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
ev_c064f0509e59,seven_years_war_1756_08_01,src_0478d4eda69b,POLITY_EXISTENCE,POLITY,pol_habsburg_monarchy,HIGH,"Actor-level modeling of a composite/confederal structure (interpretation DERIVED, see polity notes).",UNKNOWN,Habsburg Monarchy existed as a political entity on 1756-08-01.,DERIVED,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
ev_a2b265ec2405,seven_years_war_1756_08_01,src_0478d4eda69b,POLITY_EXISTENCE,POLITY,pol_bohemia,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Kingdom of Bohemia existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
ev_e712bd687c0f,seven_years_war_1756_08_01,src_0478d4eda69b,POLITY_EXISTENCE,POLITY,pol_hungary,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Kingdom of Hungary existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
ev_6277ac12ebee,seven_years_war_1756_08_01,src_0478d4eda69b,POLITY_EXISTENCE,POLITY,pol_austria_archduchy,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Archduchy of Austria existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
ev_f17ce8be2cca,seven_years_war_1756_08_01,src_0478d4eda69b,POLITY_EXISTENCE,POLITY,pol_milan,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Duchy of Milan existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
ev_2bb02f2ce59b,seven_years_war_1756_08_01,src_d756921e5f15,POLITY_EXISTENCE,POLITY,pol_prussia_monarchy,HIGH,"Actor-level modeling of a composite/confederal structure (interpretation DERIVED, see polity notes).",UNKNOWN,Prussian Monarchy (Hohenzollern lands) existed as a political entity on 1756-08-01.,DERIVED,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
ev_4ce5f35f5047,seven_years_war_1756_08_01,src_d756921e5f15,POLITY_EXISTENCE,POLITY,pol_brandenburg,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Margraviate of Brandenburg (Electorate) existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
ev_50d1880b9640,seven_years_war_1756_08_01,src_d756921e5f15,POLITY_EXISTENCE,POLITY,pol_prussia_kingdom_proper,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Kingdom of Prussia (East Prussia) existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
ev_90d86da01971,seven_years_war_1756_08_01,src_cf694f0b686f,POLITY_EXISTENCE,POLITY,pol_saxony,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Electorate of Saxony existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
ev_d6b1a78a6e22,seven_years_war_1756_08_01,src_2a22eae2a6c2,POLITY_EXISTENCE,POLITY,pol_bavaria,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Electorate of Bavaria existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
ev_77a426d33e91,seven_years_war_1756_08_01,src_2a22eae2a6c2,POLITY_EXISTENCE,POLITY,pol_palatinate,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Electorate of the Palatinate existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
ev_0ced0ae5c09f,seven_years_war_1756_08_01,src_2a22eae2a6c2,POLITY_EXISTENCE,POLITY,pol_cologne,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Electorate of Cologne existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
ev_2994f337c248,seven_years_war_1756_08_01,src_2a22eae2a6c2,POLITY_EXISTENCE,POLITY,pol_mainz,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Electorate of Mainz existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
ev_6bb5cd77dc38,seven_years_war_1756_08_01,src_2a22eae2a6c2,POLITY_EXISTENCE,POLITY,pol_trier,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Electorate of Trier existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
ev_e519b03cba44,seven_years_war_1756_08_01,src_2a22eae2a6c2,POLITY_EXISTENCE,POLITY,pol_wurttemberg,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Duchy of Württemberg existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
ev_a7767f2d226d,seven_years_war_1756_08_01,src_cf694f0b686f,POLITY_EXISTENCE,POLITY,pol_hesse_kassel,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Landgraviate of Hesse-Kassel existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
ev_4ff0275bc3a2,seven_years_war_1756_08_01,src_2a22eae2a6c2,POLITY_EXISTENCE,POLITY,pol_mecklenburg_schwerin,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Duchy of Mecklenburg-Schwerin existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
ev_a03adfa1cce8,seven_years_war_1756_08_01,src_cf694f0b686f,POLITY_EXISTENCE,POLITY,pol_brunswick_wolfenbuettel,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Principality of Brunswick-Wolfenbüttel existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
ev_8a444e10e5f9,seven_years_war_1756_08_01,src_497229e79aa1,POLITY_EXISTENCE,POLITY,pol_denmark_norway,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Kingdom of Denmark-Norway existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
ev_68013963e04d,seven_years_war_1756_08_01,src_497229e79aa1,POLITY_EXISTENCE,POLITY,pol_sweden,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Kingdom of Sweden existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
ev_13dbb694173e,seven_years_war_1756_08_01,src_cf694f0b686f,POLITY_EXISTENCE,POLITY,pol_swedish_pomerania,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Swedish Pomerania existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
ev_482aa865a02b,seven_years_war_1756_08_01,src_497229e79aa1,POLITY_EXISTENCE,POLITY,pol_russia,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Russian Empire existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
ev_cc60ca9f22ba,seven_years_war_1756_08_01,src_497229e79aa1,POLITY_EXISTENCE,POLITY,pol_plc,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Polish-Lithuanian Commonwealth existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
ev_1036ab9e62e8,seven_years_war_1756_08_01,src_497229e79aa1,POLITY_EXISTENCE,POLITY,pol_courland,MEDIUM,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Duchy of Courland and Semigallia existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
ev_ab17d89e3575,seven_years_war_1756_08_01,src_497229e79aa1,POLITY_EXISTENCE,POLITY,pol_ottoman,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Ottoman Empire existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
ev_15a5ee66d490,seven_years_war_1756_08_01,src_497229e79aa1,POLITY_EXISTENCE,POLITY,pol_moldavia,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Principality of Moldavia existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
ev_bb53c12caed5,seven_years_war_1756_08_01,src_497229e79aa1,POLITY_EXISTENCE,POLITY,pol_wallachia,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Principality of Wallachia existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
ev_b199fcdb0d84,seven_years_war_1756_08_01,src_497229e79aa1,POLITY_EXISTENCE,POLITY,pol_crimea,MEDIUM,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Crimean Khanate existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
ev_d61befa131b7,seven_years_war_1756_08_01,src_497229e79aa1,POLITY_EXISTENCE,POLITY,pol_swiss_confederacy,HIGH,"Actor-level modeling of a composite/confederal structure (interpretation DERIVED, see polity notes).",UNKNOWN,Swiss Confederacy existed as a political entity on 1756-08-01.,DERIVED,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
ev_c0683f5f97d3,seven_years_war_1756_08_01,src_497229e79aa1,POLITY_EXISTENCE,POLITY,pol_ragusa,MEDIUM,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Republic of Ragusa existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
ev_7b7337106898,seven_years_war_1756_08_01,src_497229e79aa1,POLITY_EXISTENCE,POLITY,pol_order_st_john,MEDIUM,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Order of Saint John (Malta) existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
ev_bed1ba66fac6,seven_years_war_1756_08_01,src_2a22eae2a6c2,POLITY_EXISTENCE,POLITY,pol_muenster,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Prince-Bishopric of Münster existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution; pinpoint locator to be added with boundary evidence.
ev_70797d8ec663,seven_years_war_1756_08_01,src_2a22eae2a6c2,POLITY_EXISTENCE,POLITY,pol_wuerzburg,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Prince-Bishopric of Würzburg existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution; pinpoint locator to be added with boundary evidence.
ev_a11048e3ddde,seven_years_war_1756_08_01,src_2a22eae2a6c2,POLITY_EXISTENCE,POLITY,pol_bamberg,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Prince-Bishopric of Bamberg existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution; pinpoint locator to be added with boundary evidence.
ev_c84ba8f6376f,seven_years_war_1756_08_01,src_2a22eae2a6c2,POLITY_EXISTENCE,POLITY,pol_salzburg,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Prince-Archbishopric of Salzburg existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution; pinpoint locator to be added with boundary evidence.
ev_cebc3f232cda,seven_years_war_1756_08_01,src_2a22eae2a6c2,POLITY_EXISTENCE,POLITY,pol_hesse_darmstadt,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Landgraviate of Hesse-Darmstadt existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution; pinpoint locator to be added with boundary evidence.
ev_e19739788dbc,seven_years_war_1756_08_01,src_2a22eae2a6c2,POLITY_EXISTENCE,POLITY,pol_mecklenburg_strelitz,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Duchy of Mecklenburg-Strelitz existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution; pinpoint locator to be added with boundary evidence.
ev_0f08af303304,seven_years_war_1756_08_01,src_2a22eae2a6c2,POLITY_EXISTENCE,POLITY,pol_baden_durlach,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Margraviate of Baden-Durlach existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution; pinpoint locator to be added with boundary evidence.
ev_585c59598fe9,seven_years_war_1756_08_01,src_2a22eae2a6c2,POLITY_EXISTENCE,POLITY,pol_baden_baden,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Margraviate of Baden-Baden existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution; pinpoint locator to be added with boundary evidence.
ev_902917b897fb,seven_years_war_1756_08_01,src_2a22eae2a6c2,POLITY_EXISTENCE,POLITY,pol_hamburg,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Free Imperial City of Hamburg existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution; pinpoint locator to be added with boundary evidence.
ev_959f7e40291f,seven_years_war_1756_08_01,src_2a22eae2a6c2,POLITY_EXISTENCE,POLITY,pol_nuremberg,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Free Imperial City of Nuremberg existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution; pinpoint locator to be added with boundary evidence.
ev_36e75c1eb7ec,seven_years_war_1756_08_01,src_a6ba3ebaf1a7,POLITY_EXISTENCE,POLITY,pol_san_marino,HIGH,Existence of this 1756 polity as described in the cited work.,"case-study chapter ""San Marino""",Republic of San Marino existed as a political entity on 1756-08-01.,DIRECT,Case-study chapter is the locator.
ev_50a5a788b844,seven_years_war_1756_08_01,src_a6ba3ebaf1a7,POLITY_EXISTENCE,POLITY,pol_andorra,HIGH,Existence of this 1756 polity as described in the cited work.,"case-study chapter ""Andorra""",Principality of Andorra (co-principality) existed as a political entity on 1756-08-01.,DIRECT,Case-study chapter is the locator.
ev_989d096bf52a,seven_years_war_1756_08_01,src_a6ba3ebaf1a7,POLITY_EXISTENCE,POLITY,pol_liechtenstein,HIGH,Existence of this 1756 polity as described in the cited work.,"case-study chapter ""Liechtenstein""",Principality of Liechtenstein existed as a political entity on 1756-08-01.,DIRECT,Case-study chapter is the locator.
ev_1b87d1262134,seven_years_war_1756_08_01,src_555d04093a36,POLITY_EXISTENCE,POLITY,pol_corsican_republic,MEDIUM,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Corsican Republic (Paoli government) existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution; pinpoint locator to be added with boundary evidence.
ev_9c00704ac293,seven_years_war_1756_08_01,src_7a1c441d3e91,POLITY_EXISTENCE,POLITY,pol_lucca,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Republic of Lucca existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution; pinpoint locator to be added with boundary evidence.
ev_acaad592a261,seven_years_war_1756_08_01,src_9d6f03b5c85f,POLITY_EXISTENCE,POLITY,pol_saxe_weimar,MEDIUM,the 1756 sheet names this territory in its own lettering,in-map label 'DUCHE DE WEIMAR',Duchy of Saxe-Weimar existed as a territorial actor on 1756-08-01.,DIRECT,contemporary map naming is direct existence evidence
ev_0e5160752363,seven_years_war_1756_08_01,src_9d6f03b5c85f,POLITY_EXISTENCE,POLITY,pol_schwarzburg,MEDIUM,the 1756 sheet names this territory in its own lettering,in-map label 'SCHWARTZBURG',Schwarzburg (as drawn on the 1756 sheet) existed as a territorial actor on 1756-08-01.,DIRECT,contemporary map naming is direct existence evidence
