rank_by_area,part_index,ground_area_km2,projected_area_km2,centroid_lon,centroid_lat,bbox_3857,anchors_contained_sicily,anchors_contained_sardinia,named_identification,is_single_connected_component,stage_role,anchor_role,ownership_source,physical_source
10,291,51.3,90.3,8.27971,41.05529,"[913795, 5009966, 929595, 5030166]",,,Asinara,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
11,190,50.9,84.8,8.27544,39.14072,"[914982, 4735074, 925862, 4748602]",,,San Pietro,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
12,2189,46.3,80.7,13.90583,40.72568,"[1541870, 4967011, 1554614, 4977265]",,,,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
13,2322,37.1,60.7,14.93616,38.48737,"[1658397, 4641640, 1667627, 4653656]",,,Lipari (Aeolian),True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
14,2341,26.1,42.7,14.83927,38.56237,"[1647069, 4655179, 1655879, 4662255]",,,Salina (Aeolian),True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
15,1224,19.7,34.8,9.41037,41.23311,"[1043524, 5043303, 1050968, 5052095]",,,La Maddalena,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
16,2269,20.8,33.9,14.97098,38.39472,"[1662719, 4631356, 1670541, 4640676]",,,,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
17,1656,19.9,32.0,12.3188,37.92806,"[1366005, 4565842, 1377100, 4573192]",,,Favignana (Egadi),True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
18,1377,15.5,27.4,9.4644,41.21,"[1050141, 5037211, 1056271, 5048677]",,,,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
19,2548,12.6,20.8,15.21552,38.79276,"[1690645, 4689010, 1696850, 4694776]",,,,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
20,1671,12.1,19.6,12.05734,37.97059,"[1338976, 4571674, 1346046, 4578462]",,,,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
21,2133,10.3,17.9,14.22575,40.55051,"[1580264, 4944123, 1588126, 4947927]",,,,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
22,2342,9.2,15.1,14.5632,38.57099,"[1618525, 4657885, 1624579, 4662552]",,,,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
23,1968,8.1,13.4,13.17535,38.70522,"[1464003, 4677468, 1469503, 4681754]",,,Ustica,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
24,1841,7.3,12.8,12.96141,40.90817,"[1440671, 4994221, 1446651, 5002862]",,,,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
25,437,7.5,12.0,8.93039,37.52569,"[990587, 4510953, 997273, 4514963]",,,,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
26,1568,5.9,10.4,9.71256,40.90547,"[1076773, 4995818, 1084563, 5001678]",,,,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
27,1753,5.9,9.4,12.4434,37.87776,"[1383595, 4557416, 1386575, 4566042]",,,,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
28,1786,5.8,9.4,12.33509,37.99941,"[1371452, 4577268, 1375165, 4582350]",,,,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
29,2114,5.0,8.3,14.35267,38.54294,"[1596214, 4654672, 1599249, 4658059]",,,,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
30,996,4.2,7.5,9.34549,41.24119,"[1038913, 5046053, 1042013, 5049803]",,,,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
31,1633,4.3,6.8,10.80432,37.12605,"[1201018, 4455280, 1204477, 4459078]",,,,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
32,2213,3.9,6.7,14.01663,40.75752,"[1558430, 4973940, 1562669, 4978597]",,,,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
33,1548,3.5,6.1,9.7276,40.86871,"[1080930, 4991553, 1084610, 4994219]",,,,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
34,2376,3.4,5.6,15.06639,38.63607,"[1675840, 4668051, 1678539, 4671286]",,,,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
35,1142,3.0,5.4,9.4116,41.19678,"[1046043, 5039877, 1048956, 5043079]",,,,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
36,2080,2.8,4.3,14.33628,36.01159,"[1594366, 4301144, 1597522, 4303381]",,,,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
37,1050,1.9,3.3,9.37326,41.29762,"[1042001, 5054832, 1044704, 5057903]",,,,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
38,1004,1.7,3.0,9.34924,41.28292,"[1039161, 5053113, 1041934, 5055118]",,,,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
39,1056,1.7,2.9,9.34626,41.30087,"[1039033, 5055658, 1041908, 5058039]",,,,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
40,2035,1.4,2.4,13.42409,40.79305,"[1492535, 4980670, 1495607, 4983450]",,,,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
41,1888,1.3,2.2,12.85706,40.93662,"[1430435, 5001317, 1431893, 5004913]",,,,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
42,146,1.2,2.1,8.21834,40.9751,"[914108, 5007553, 915825, 5009799]",,,,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
43,788,1.1,2.0,9.26296,41.36841,"[1029748, 5065714, 1032452, 5067717]",,,,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
44,2067,1.1,1.9,13.05488,40.96866,"[1452169, 5007090, 1454201, 5008496]",,,,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
