point_id,historical_map_label,pixel_x,pixel_y,reference_feature_name,reference_lon,reference_lat,reference_source,identity_confidence,symbol_type,zone,selection_method,discovered_using_prior_transform,notes,symbol_radius_px,symbol_bbox,chosen_anchor,anchor_reason,symbol_uncertainty_px,symbol_position_uncertainty_m,observation_class,pixel_coordinate_directly_observed,feature_kind,inside_inset,split_role,split_reason
ofp_gryfice,Griffenberg,4003.0,2419.4,Gryfice,15.20027,53.9165,"GeoNames cities15000 (CC BY 4.0), local copy",HIGH,TOWN_CIRCLE_WITH_BUILDING,NW,MAP_FIRST_TILE_SCAN,NO,,4.0,"[3998.0,2414.4,4008.0,2424.4]",SYMBOL_CIRCLE_CENTRE,"the engraved settlement circle, not the centre of the label text; located by an annulus template (dark ring, light core, light halo) seeded on the circle read at native resolution and refined to the darkness-weighted centroid of the ring",6.3,409.0,OBSERVED_FEATURE_POINT,YES,TOWN_SYMBOL,NO,MODEL_SELECTION_HOLDOUT,
ofp_guestrow,GUSTROW,848.0,2632.1,Guestrow,12.17337,53.7972,"GeoNames cities15000 (CC BY 4.0), local copy",HIGH,TOWN_CIRCLE_WITH_BUILDING,NW,MAP_FIRST_TILE_SCAN,NO,,4.0,"[843.0,2627.1,853.0,2637.1]",SYMBOL_CIRCLE_CENTRE,"the engraved settlement circle, not the centre of the label text; located by an annulus template (dark ring, light core, light halo) seeded on the circle read at native resolution and refined to the darkness-weighted centroid of the ring",6.3,409.0,OBSERVED_FEATURE_POINT,YES,TOWN_SYMBOL,NO,BLIND_VALIDATION,
ofp_kartuzy,Carthaus,6903.8,1917.7,Kartuzy,18.19735,54.33424,"GeoNames cities15000 (CC BY 4.0), local copy",MEDIUM,VILLAGE_CIRCLE,NE,MAP_FIRST_TILE_SCAN,NO,"plain village-grade circle, no building glyph",4.0,"[6898.8,1912.7,6908.8,1922.7]",SYMBOL_CIRCLE_CENTRE,"the engraved settlement circle, not the centre of the label text; located by an annulus template (dark ring, light core, light halo) seeded on the circle read at native resolution and refined to the darkness-weighted centroid of the ring",10.2,662.0,OBSERVED_FEATURE_POINT,YES,TOWN_SYMBOL,NO,FIT,
ofp_kolobrzeg,Colberg,4287.8,1932.0,Kolobrzeg,15.58342,54.17565,"GeoNames cities15000 (CC BY 4.0), local copy",HIGH,TOWN_CIRCLE_WITH_BUILDING,NE,MAP_FIRST_TILE_SCAN,NO,,4.0,"[4282.8,1927.0,4292.8,1937.0]",SYMBOL_CIRCLE_CENTRE,"the engraved settlement circle, not the centre of the label text; located by an annulus template (dark ring, light core, light halo) seeded on the circle read at native resolution and refined to the darkness-weighted centroid of the ring",6.3,409.0,OBSERVED_FEATURE_POINT,YES,TOWN_SYMBOL,NO,MODEL_SELECTION_HOLDOUT,
ofp_koszalin,Coslin,4815.8,1901.1,Koszalin,16.17222,54.19438,"GeoNames cities15000 (CC BY 4.0), local copy",HIGH,TOWN_CIRCLE_WITH_BUILDING,NE,MAP_FIRST_TILE_SCAN,NO,,4.0,"[4810.8,1896.1,4820.8,1906.1]",SYMBOL_CIRCLE_CENTRE,"the engraved settlement circle, not the centre of the label text; located by an annulus template (dark ring, light core, light halo) seeded on the circle read at native resolution and refined to the darkness-weighted centroid of the ring",6.3,409.0,OBSERVED_FEATURE_POINT,YES,TOWN_SYMBOL,NO,BLIND_VALIDATION,
ofp_lebork,Louwenborch,6278.8,997.3,Lebork,17.75012,54.53921,"GeoNames cities15000 (CC BY 4.0), local copy",HIGH,TOWN_CIRCLE_WITH_BUILDING,NE,MAP_FIRST_TILE_SCAN,NO,,4.0,"[6273.8,992.3,6283.8,1002.3]",SYMBOL_CIRCLE_CENTRE,"the engraved settlement circle, not the centre of the label text; located by an annulus template (dark ring, light core, light halo) seeded on the circle read at native resolution and refined to the darkness-weighted centroid of the ring",6.3,409.0,OBSERVED_FEATURE_POINT,YES,TOWN_SYMBOL,NO,FIT,
ofp_miedzyrzecz,Meseritz,4439.9,5112.6,Miedzyrzecz,15.57801,52.44461,"GeoNames cities15000 (CC BY 4.0), local copy",HIGH,TOWN_CIRCLE_WITH_BUILDING,SE,MAP_FIRST_TILE_SCAN,NO,,4.0,"[4434.9,5107.6,4444.9,5117.6]",SYMBOL_CIRCLE_CENTRE,"the engraved settlement circle, not the centre of the label text; located by an annulus template (dark ring, light core, light halo) seeded on the circle read at native resolution and refined to the darkness-weighted centroid of the ring",6.3,409.0,OBSERVED_FEATURE_POINT,YES,TOWN_SYMBOL,NO,BLIND_VALIDATION,
ofp_neubrandenburg,Brandenburg,2034.9,3136.4,Neubrandenburg,13.26105,53.55735,"GeoNames cities15000 (CC BY 4.0), local copy",HIGH,TOWN_CIRCLE_WITH_BUILDING,SW,MAP_FIRST_TILE_SCAN,NO,"Mecklenburg-Strelitz Neubrandenburg; the plate spells it Brandenburg, distinct from New/Alt Brandeburg on the Havel",4.0,"[2029.9,3131.4,2039.9,3141.4]",SYMBOL_CIRCLE_CENTRE,"the engraved settlement circle, not the centre of the label text; located by an annulus template (dark ring, light core, light halo) seeded on the circle read at native resolution and refined to the darkness-weighted centroid of the ring",6.3,409.0,OBSERVED_FEATURE_POINT,YES,TOWN_SYMBOL,NO,MODEL_SELECTION_HOLDOUT,
ofp_potsdam,Potzdam,1630.9,5048.1,Potsdam,13.06566,52.39886,"GeoNames cities15000 (CC BY 4.0), local copy",HIGH,TOWN_CIRCLE_WITH_BUILDING,SW,PRIOR_TRANSFORM_WINDOW_MAPGEN018R,YES,,4.0,"[1625.9,5043.1,1635.9,5053.1]",SYMBOL_CIRCLE_CENTRE,"the engraved settlement circle, not the centre of the label text; located by an annulus template (dark ring, light core, light halo) seeded on the circle read at native resolution and refined to the darkness-weighted centroid of the ring",6.3,409.0,OBSERVED_FEATURE_POINT,YES,TOWN_SYMBOL,NO,FIT,"moved out of blind validation: located inside a window predicted by the MAPGEN-018 transform, so it cannot test a transform blindly"
ofp_prenzlau,Prenslow,2543.8,3398.2,Prenzlau,13.86397,53.31702,"GeoNames cities15000 (CC BY 4.0), local copy",HIGH,TOWN_CIRCLE_WITH_BUILDING,SW,MAP_FIRST_TILE_SCAN,NO,,4.0,"[2538.8,3393.2,2548.8,3403.2]",SYMBOL_CIRCLE_CENTRE,"the engraved settlement circle, not the centre of the label text; located by an annulus template (dark ring, light core, light halo) seeded on the circle read at native resolution and refined to the darkness-weighted centroid of the ring",6.3,409.0,OBSERVED_FEATURE_POINT,YES,TOWN_SYMBOL,NO,FIT,
ofp_rathenow,Ratenow,927.8,4641.2,Rathenow,12.33696,52.60659,"GeoNames cities15000 (CC BY 4.0), local copy",HIGH,TOWN_CIRCLE_WITH_BUILDING,SW,MAP_FIRST_TILE_SCAN,NO,,4.0,"[922.8,4636.2,932.8,4646.2]",SYMBOL_CIRCLE_CENTRE,"the engraved settlement circle, not the centre of the label text; located by an annulus template (dark ring, light core, light halo) seeded on the circle read at native resolution and refined to the darkness-weighted centroid of the ring",6.3,409.0,OBSERVED_FEATURE_POINT,YES,TOWN_SYMBOL,NO,FIT,
ofp_rostock,ROSTOCK,975.8,2225.0,Rostock,12.14049,54.0887,"GeoNames cities15000 (CC BY 4.0), local copy",HIGH,TOWN_CIRCLE_WITH_BUILDING,NW,MAP_FIRST_TILE_SCAN,NO,,4.0,"[970.8,2220.0,980.8,2230.0]",SYMBOL_CIRCLE_CENTRE,"the engraved settlement circle, not the centre of the label text; located by an annulus template (dark ring, light core, light halo) seeded on the circle read at native resolution and refined to the darkness-weighted centroid of the ring",6.3,409.0,OBSERVED_FEATURE_POINT,YES,TOWN_SYMBOL,NO,FIT,
ofp_slupsk,Stolpe,5502.9,1267.8,Slupsk,17.02872,54.46405,"GeoNames cities15000 (CC BY 4.0), local copy",HIGH,TOWN_CIRCLE_WITH_BUILDING,NE,MAP_FIRST_TILE_SCAN,NO,,4.0,"[5497.9,1262.8,5507.9,1272.8]",SYMBOL_CIRCLE_CENTRE,"the engraved settlement circle, not the centre of the label text; located by an annulus template (dark ring, light core, light halo) seeded on the circle read at native resolution and refined to the darkness-weighted centroid of the ring",6.3,409.0,OBSERVED_FEATURE_POINT,YES,TOWN_SYMBOL,NO,FIT,
ofp_stargard,Stargart,3849.3,3287.6,Stargard,15.0499,53.33672,"GeoNames cities15000 (CC BY 4.0), local copy",HIGH,TOWN_CIRCLE_WITH_BUILDING,centre,MAP_FIRST_TILE_SCAN,NO,,4.0,"[3844.3,3282.6,3854.3,3292.6]",SYMBOL_CIRCLE_CENTRE,"the engraved settlement circle, not the centre of the label text; located by an annulus template (dark ring, light core, light halo) seeded on the circle read at native resolution and refined to the darkness-weighted centroid of the ring",6.3,409.0,OBSERVED_FEATURE_POINT,YES,TOWN_SYMBOL,NO,BLIND_VALIDATION,
ofp_stralsund,STRALSUND,2054.1,1707.2,Stralsund,13.0818,54.30911,"GeoNames cities15000 (CC BY 4.0), local copy",HIGH,TOWN_CIRCLE_WITH_BUILDING,NW,MAP_FIRST_TILE_SCAN,NO,,4.0,"[2049.1,1702.2,2059.1,1712.2]",SYMBOL_CIRCLE_CENTRE,"the engraved settlement circle, not the centre of the label text; located by an annulus template (dark ring, light core, light halo) seeded on the circle read at native resolution and refined to the darkness-weighted centroid of the ring",6.3,409.0,OBSERVED_FEATURE_POINT,YES,TOWN_SYMBOL,NO,FIT,
ofp_sulechow,Zullichaw,4183.9,5745.3,Sulechow,15.62513,52.08362,"GeoNames cities15000 (CC BY 4.0), local copy",HIGH,TOWN_CIRCLE_WITH_BUILDING,SE,MAP_FIRST_TILE_SCAN,NO,,4.0,"[4178.9,5740.3,4188.9,5750.3]",SYMBOL_CIRCLE_CENTRE,"the engraved settlement circle, not the centre of the label text; located by an annulus template (dark ring, light core, light halo) seeded on the circle read at native resolution and refined to the darkness-weighted centroid of the ring",6.3,409.0,OBSERVED_FEATURE_POINT,YES,TOWN_SYMBOL,NO,FIT,
ofp_swidwin,Schifelbein,4474.7,2597.8,Swidwin,15.77671,53.77464,"GeoNames cities15000 (CC BY 4.0), local copy",HIGH,TOWN_CIRCLE_WITH_BUILDING,centre,MAP_FIRST_TILE_SCAN,NO,,4.0,"[4469.7,2592.8,4479.7,2602.8]",SYMBOL_CIRCLE_CENTRE,"the engraved settlement circle, not the centre of the label text; located by an annulus template (dark ring, light core, light halo) seeded on the circle read at native resolution and refined to the darkness-weighted centroid of the ring",6.3,409.0,OBSERVED_FEATURE_POINT,YES,TOWN_SYMBOL,NO,FIT,
ofp_swiebodzin,Schwibussin,4089.0,5482.2,Swiebodzin,15.53355,52.24751,"GeoNames cities15000 (CC BY 4.0), local copy",HIGH,TOWN_CIRCLE_WITH_BUILDING,SE,MAP_FIRST_TILE_SCAN,NO,,4.0,"[4084.0,5477.2,4094.0,5487.2]",SYMBOL_CIRCLE_CENTRE,"the engraved settlement circle, not the centre of the label text; located by an annulus template (dark ring, light core, light halo) seeded on the circle read at native resolution and refined to the darkness-weighted centroid of the ring",6.3,409.0,OBSERVED_FEATURE_POINT,YES,TOWN_SYMBOL,NO,FIT,
ofp_szczecin,STETTIN,3348.8,3221.6,Szczecin,14.55302,53.42894,"GeoNames cities15000 (CC BY 4.0), local copy",MEDIUM,FORTIFIED_TOWN,centre,MAP_FIRST_TILE_SCAN,NO,"symbol sits inside dense Oder channel hatching, harder to isolate",4.0,"[3343.8,3216.6,3353.8,3226.6]",SYMBOL_CIRCLE_CENTRE,"the engraved settlement circle, not the centre of the label text; located by an annulus template (dark ring, light core, light halo) seeded on the circle read at native resolution and refined to the darkness-weighted centroid of the ring",10.2,662.0,OBSERVED_FEATURE_POINT,YES,FORTIFICATION_SYMBOL,NO,FIT,
ofp_szczecinek,Nien Stettin,5295.8,2565.9,Szczecinek,16.69937,53.70791,"GeoNames cities15000 (CC BY 4.0), local copy",HIGH,TOWN_CIRCLE_WITH_BUILDING,NE,MAP_FIRST_TILE_SCAN,NO,,4.0,"[5290.8,2560.9,5300.8,2570.9]",SYMBOL_CIRCLE_CENTRE,"the engraved settlement circle, not the centre of the label text; located by an annulus template (dark ring, light core, light halo) seeded on the circle read at native resolution and refined to the darkness-weighted centroid of the ring",6.3,409.0,OBSERVED_FEATURE_POINT,YES,TOWN_SYMBOL,NO,FIT,
ofp_universitats__und_hansestadt_greifswald,Gripswalde,2273.8,2044.0,Universitats- und Hansestadt Greifswald,13.40244,54.08905,"GeoNames cities15000 (CC BY 4.0), local copy",HIGH,TOWN_CIRCLE_WITH_BUILDING,NW,MAP_FIRST_TILE_SCAN,NO,,4.0,"[2268.8,2039.0,2278.8,2049.0]",SYMBOL_CIRCLE_CENTRE,"the engraved settlement circle, not the centre of the label text; located by an annulus template (dark ring, light core, light halo) seeded on the circle read at native resolution and refined to the darkness-weighted centroid of the ring",6.3,409.0,OBSERVED_FEATURE_POINT,YES,TOWN_SYMBOL,NO,FIT,
ofp_walcz,Die Krone,5225.0,3725.7,Walcz,16.47122,53.27787,"GeoNames cities15000 (CC BY 4.0), local copy",HIGH,TOWN_CIRCLE_WITH_BUILDING,SE,MAP_FIRST_TILE_SCAN,NO,"Deutsch Krone, not Krone an der Brahe",4.0,"[5220.0,3720.7,5230.0,3730.7]",SYMBOL_CIRCLE_CENTRE,"the engraved settlement circle, not the centre of the label text; located by an annulus template (dark ring, light core, light halo) seeded on the circle read at native resolution and refined to the darkness-weighted centroid of the ring",6.3,409.0,OBSERVED_FEATURE_POINT,YES,TOWN_SYMBOL,NO,FIT,
ofp_waren,WAREN,1261.0,3089.0,Waren,12.68128,53.51986,"GeoNames cities15000 (CC BY 4.0), local copy",HIGH,TOWN_CIRCLE_WITH_BUILDING,NW,MAP_FIRST_TILE_SCAN,NO,,4.0,"[1256.0,3084.0,1266.0,3094.0]",SYMBOL_CIRCLE_CENTRE,"the engraved settlement circle, not the centre of the label text; located by an annulus template (dark ring, light core, light halo) seeded on the circle read at native resolution and refined to the darkness-weighted centroid of the ring",6.3,409.0,OBSERVED_FEATURE_POINT,YES,TOWN_SYMBOL,NO,MODEL_SELECTION_HOLDOUT,
