historical_evidence_id,global_source_id,historical_subject_id,assertion_type,valid_from,valid_to,temporal_precision,exact_locator,interpretation_level,confidence,geometry_authority,political_authority,notes
hev_568d51154196,hsrc_a5816e9281d6,hsub_schwarzburg_sondershausen,POLITY_EXISTENCE,1599-01-01,1918-12-31,YEAR,"NDB 24 (2010), pp. 12-14, art. 'Schwarzburg, Grafen von' (A. Klinger): '1599 kam es mit dem Teilungsvertrag von Stadtilm zur Trennung des Hauses in die Linien S.-Rudolstadt und S.-Sondershausen'",DIRECT,HIGH,NO,YES,"Schwarzburg-Sondershausen existed as a separate territorial line from 1599. The same article records the elevations to the hereditary Reichsfuerstenstand (Sondershausen 1697, Rudolstadt 1710) and that the new imperial princes took seat and vote in the Reichsfuerstenrat only from 1754 - so both held it at the 1756-08-01 snapshot."
hev_c34b6560f482,hsrc_a01a2b3eef3d,hsub_great_britain_main_island,GEOMETRIC_SUBSTRATE_ONLY,2024-01-01,2024-12-31,D,europe_land_parts.parquet; largest connected land component containing the Great Britain identity anchors,DIRECT,HIGH,YES,NO,PHYSICAL SUBSTRATE ONLY. Supplies the outline of the landmass; carries no political authority whatsoever.
hev_f53c6f33a49f,hsrc_a01a2b3eef3d,hsub_great_britain_main_island,TERRITORIAL_CONTINUITY,1700-01-01,2026-12-31,D,"british_isles_coastal_sensitivity.csv, Great Britain row",DIRECT,MEDIUM,NO,YES,"Continuity of the ISLAND OUTLINE, not of every shoreline metre. At a 6 km working resolution the outline of these hard-rock islands is materially the same in 1756 and today; the known reclamation and drainage exceptions are enumerated in the coastal sensitivity audit and are local."
hev_13364aa51fe0,hsrc_a01a2b3eef3d,hsub_ireland_main_island,GEOMETRIC_SUBSTRATE_ONLY,2024-01-01,2024-12-31,D,europe_land_parts.parquet; largest connected land component containing the Ireland identity anchors,DIRECT,HIGH,YES,NO,PHYSICAL SUBSTRATE ONLY. Supplies the outline of the landmass; carries no political authority whatsoever.
hev_007d6bad0acf,hsrc_a01a2b3eef3d,hsub_ireland_main_island,TERRITORIAL_CONTINUITY,1700-01-01,2026-12-31,D,"british_isles_coastal_sensitivity.csv, Ireland row",DIRECT,MEDIUM,NO,YES,"Continuity of the ISLAND OUTLINE, not of every shoreline metre. At a 6 km working resolution the outline of these hard-rock islands is materially the same in 1756 and today; the known reclamation and drainage exceptions are enumerated in the coastal sensitivity audit and are local."
hev_528f625f3ed5,hsrc_7c6f3e8a56e3,hsub_great_britain_main_island,POLITICAL_CONTROL,1707-05-01,1800-12-31,D,"Union with Scotland Act 1706 (6 Ann. c. 11) ARTICLE I; and 29 Geo. 2 c. 20 (1756, County of Bute, North Britain) and 29 Geo. 2 c. 37 (1756, County of York) as in-force application in the snapshot year",DIRECT,HIGH,NO,YES,Article I unites England and Scotland into one kingdom from 1 May 1707; the two 1756 acts show the same Parliament legislating for named places in both halves of the island in the snapshot year.
hev_3b103df245e9,hsrc_a844d4767e20,hsub_ireland_main_island,POLITICAL_CONTROL,1756-05-01,1800-12-31,D,"Sheriffs Act 1755 (Ireland, 29 Geo. 2 c. 15) CHAPTER XV section III, operative from 1 May 1756; with Cork Infirmary Act 1751 (25 Geo. 2 c. 23)",DIRECT,HIGH,NO,YES,"A statute of the Parliament of Ireland whose operative clause takes effect on 1 May 1756, three months before the snapshot, binding county sheriffs' officers throughout Ireland and enforced through the Irish courts and Exchequer."
hev_955d8d15d43d,hsrc_a01a2b3eef3d,hsub_sicily_main_island,GEOMETRIC_SUBSTRATE_ONLY,2024-01-01,2024-12-31,D,europe_land_parts.parquet; largest connected land component containing the Sicily identity anchors (mediterranean_landmass_identity.csv),DIRECT,HIGH,YES,NO,PHYSICAL SUBSTRATE ONLY. Supplies the outline of the island and carries no political authority whatsoever.
hev_55f1634d1083,hsrc_a01a2b3eef3d,hsub_sicily_main_island,TERRITORIAL_CONTINUITY,1700-01-01,2026-12-31,D,"mediterranean_coastal_sensitivity.csv, Sicily row",DIRECT,MEDIUM,NO,YES,"Continuity of the ISLAND OUTLINE at a 6 km working resolution. The Mediterranean is effectively non-tidal, so the dominant shoreline mechanism in the British Isles case does not apply here; the known local changes are enumerated in the coastal sensitivity audit."
hev_f020c02e4625,hsrc_a01a2b3eef3d,hsub_sardinia_main_island,GEOMETRIC_SUBSTRATE_ONLY,2024-01-01,2024-12-31,D,europe_land_parts.parquet; largest connected land component containing the Sardinia identity anchors (mediterranean_landmass_identity.csv),DIRECT,HIGH,YES,NO,PHYSICAL SUBSTRATE ONLY. Supplies the outline of the island and carries no political authority whatsoever.
hev_a0ddf76441c8,hsrc_a01a2b3eef3d,hsub_sardinia_main_island,TERRITORIAL_CONTINUITY,1700-01-01,2026-12-31,D,"mediterranean_coastal_sensitivity.csv, Sardinia row",DIRECT,MEDIUM,NO,YES,"Continuity of the ISLAND OUTLINE at a 6 km working resolution. The Mediterranean is effectively non-tidal, so the dominant shoreline mechanism in the British Isles case does not apply here; the known local changes are enumerated in the coastal sensitivity audit."
hev_6df0d3e8b767,hsrc_1405c6fc82b4,hsub_sicily_main_island,POLITICAL_CONTROL,1738-11-18,1816-12-11,D,"Treaty of Vienna, 18 November 1738: Austria cedes Naples and Sicily to Don Carlos of Bourbon in exchange for Parma and Piacenza. Validity closes 11 Dec 1816, the day before Naples and Sicily are merged into the Kingdom of the Two Sicilies.",DIRECT,HIGH,NO,YES,Sovereignty title for the island of Sicily at the snapshot. The validity window deliberately ENDS before the 1816 merger so the Two Sicilies state can never be back-dated into 1756.
hev_7695c809052d,hsrc_585c749941c5,hsub_sicily_main_island,POLITICAL_CONTROL,1738-11-18,1816-12-11,D,"Guida generale, Archivio di Stato di Palermo: Real segreteria (1611-1826); Deputazione del regno (1547-1819); Deputazione delle strade (1731-1819); Suprema deputazione generale di salute pubblica (1731-1818); Giunta poi Deputazione suprema degli ospedali (1750-1818)",DIRECT,HIGH,NO,YES,"Government actually running on the island across the snapshot, evidenced by the surviving record series of its own organs. Sicily's separate parliament and Deputazione are why it is a separate actor from Naples."
hev_c0a65bb47b7b,hsrc_1405c6fc82b4,hsub_sardinia_main_island,POLITICAL_CONTROL,1720-02-17,1847-12-31,D,"Treaty of The Hague, 17 February 1720: Victor Amadeus II cedes Sicily to Austria and receives Sardinia, taking the style King of Sardinia. Validity closes in 1847, the year of the fusione perfetta.",DIRECT,HIGH,NO,YES,"Sovereignty title for the ISLAND of Sardinia. Before the 1847 fusione perfetta the Kingdom of Sardinia legally IS the island; Piedmont, Savoy and Nice are a separate composite holding of the same dynasty, so this assertion authorises the island and nothing on the mainland."
hev_2e2dedf17bab,hsrc_4ffa40da6904,hsub_sardinia_main_island,POLITICAL_CONTROL,1720-02-17,1847-12-31,D,"SIAS, Archivio di Stato di Cagliari: Segreteria di Stato e di Guerra del Regno di Sardegna (1720-1848); Reale udienza del Regno di Sardegna (1564-1868); Antico Archivio Regio (1323-1832)",DIRECT,HIGH,NO,YES,"The Savoyard secretariat for the island opens in 1720 - the year of the exchange - and is still running in 1756, alongside the island's supreme court and royal archive."
