global_source_id,citation_key,title,author_or_institution,publication_date,represented_date_range,map_scale_if_known,geographic_scope,licence_or_usage_note,source_url,local_path,authority_level,historicity_of_source,exact_locator,georeference_status,notes
hsrc_81cf823f3ab5,eth_hre_spatio_temporal_dataset,Spatio-temporal data on territories of the Holy Roman Empire (ETH Zurich dataset),ETH Zurich,2020s publication,16th century,,Holy Roman Empire,Licence to be verified before any geometry acquisition; nothing downloaded or redistributed here.,,,METHODOLOGY_REFERENCE,LATER_SCHOLARSHIP,UNKNOWN (catalogue-stage; sheet/layer locators recorded at acquisition),UNKNOWN,SIXTEENTH-century dataset: FORBIDDEN as 1756 geometry authority. Retained purely as a methodology/schema reference for territorial digitisation.
hsrc_7fe408029661,historical_atlas_low_countries,"Historical Atlas of the Low Countries (1350-1800), IISH Dataverse dataset, VERSION 15.0","Rombert Stapel, International Institute of Social History (IISH)",2026-01-01 (v15.0 release),"published cross-section: 1500 ONLY (1350/1650/1800 planned upstream, NOT yet published)",,Low Countries,CC BY-SA 4.0 (verified via Dataverse API); redistribution permitted with attribution + share-alike; raw copy kept out of git by data/raw policy,https://hdl.handle.net/10622/PGFYTM,data/raw/historical_atlas_low_countries/,BOUNDARY_AUTHORITY_CANDIDATE,LATER_SCHOLARSHIP,dataset hdl:10622/PGFYTM v15.0; layer 'HALC 1500'; data paper DOI 10.1163/24523666-bja10033,GEOREFERENCED,"ACQUIRED AND VERIFIED (MAPGEN-011, download 2026-08-11 UTC). 14,863 locality polygons, EPSG:4326, ADM0..ADM9 hierarchy + jurisdiction fields FOR THE 1500 STATE. Files+SHA256: HALC_1500.gpkg=feb6dfc8267e; HALC_Codebook.xlsx=2e499bffda83; HALC_Localities.gpkg=2bb0d0343c75; HALC_Unidentified.gpkg=f86601ea562a; HALC_Unidentified_Localities.gpkg=488e978ad090. VERDICT for 1756: superb geometric substrate and future locality-level base, but publishes NO 1650/1800/1756 geometry and NO 1756 sovereignty attributes -> cannot serve as 1756 boundary authority on its own (date mismatch 1500 vs 1756; major border changes 1579-1715: Dutch Revolt, 1648 Generality Lands, French annexations, 1713/1715 transfers)."
hsrc_fc0b4f804539,cassini_carte_de_france,"Carte de Cassini (Carte generale de la France, 18th c. survey)",Cassini de Thury et al.,1750s-1780s sheets,as-surveyed 18th-century France,,France,Licence to be verified before any geometry acquisition; nothing downloaded or redistributed here.,,,TOPOGRAPHIC_GEOREFERENCE_ONLY,CONTEMPORARY_MAP,UNKNOWN (catalogue-stage; sheet/layer locators recorded at acquisition),UNKNOWN,Contemporary topographic survey: excellent georeference/place authority; carries NO political-sovereignty authority by itself.
hsrc_14e8e96b532a,ferraris_carte_de_cabinet,"Carte de Cabinet des Pays-Bas autrichiens (Ferraris, 1771-1778)",Joseph de Ferraris / KBR (Royal Library of Belgium),1771-1778 survey,as-surveyed 1770s Austrian Netherlands,,Austrian Netherlands + Liege,Licence verification pending at acquisition time; nothing downloaded or redistributed yet.,,,TOPOGRAPHIC_GEOREFERENCE_ONLY,CONTEMPORARY_MAP,UNKNOWN (catalogue stage),UNKNOWN,"Near-contemporary (15-20y after snapshot) topographic survey, georeferenced scans published by KBR/Cartesius. Excellent georeference + some territorial annotations, but 1770s not 1756 and topography is not sovereignty authority."
hsrc_b14d70b69dc9,fricx_carte_des_pays_bas,"Carte des Pays-Bas et des frontieres de France (Eugene-Henri Fricx, 1704-1712)","Eugene-Henri Fricx, Brussels",1704-1712,early-18th-century Low Countries,,Low Countries / French frontier,Licence verification pending at acquisition time; nothing downloaded or redistributed yet.,,,TOPOGRAPHIC_GEOREFERENCE_ONLY,CONTEMPORARY_MAP,UNKNOWN (catalogue stage),UNKNOWN,"Contemporary map predating 1713/1715 territorial settlements; usable as georeference/QA only, and only with the post-1713 changes documented separately."
hsrc_1e8a25b41e19,nlgis_boonstra_1812,NLGis / Dutch municipal boundaries from 1812 (Boonstra),Onno Boonstra / DANS-IISH,modern dataset,1812 onwards (Napoleonic municipalities),,Netherlands,Licence verification pending at acquisition time; nothing downloaded or redistributed yet.,,,METHODOLOGY_REFERENCE,LATER_SCHOLARSHIP,UNKNOWN (catalogue stage),UNKNOWN,Starts 1812 — post-revolutionary reorganisation; DATE_MISMATCH for 1756 and the 1795-1812 upheaval breaks continuity arguments.
hsrc_34735c52ef0d,vaugondy_1756_haute_saxe_bnf,"Partie meridionale du cercle de Haute Saxe ou sont le duche de Saxe, le marquisat de Misnie, le landgraviat de Thuringe et autres etats et principautes","Gilles Robert de Vaugondy (1688-1766), geographe ordinaire du Roi; held by the Bibliotheque nationale de France",1756 (imprint 'Avec Privilege 1756'),"1756 political state of the southern Upper Saxon Circle (contemporary map, not a reissue of an older plate: the cartouche dates the privilege to 1756)","graticule-derived ~1:600,000 (1 deg of longitude at 51N = 1320 px = 70.1 km => 52.9 m/px at 300 dpi-class scan)","Upper Saxon Circle (southern part): Meissen, Thuringia, Saxon duchies, adjacent Bohemia and Brandenburg fringes",Public domain (BnF/Gallica original; Commons PD-France + PD-US-expired). Raw raster kept out of git by data/raw policy.,https://commons.wikimedia.org/wiki/File:Partie_m%C3%A9ridionale_du_cercle_de_Haute_Saxe_...-_btv1b530412497.jpg (BnF ark btv1b530412497),data/raw/historical_maps/vaugondy_1756/vaugondy_1756_haute_saxe_btv1b530412497.jpg,BOUNDARY_AUTHORITY_CANDIDATE,CONTEMPORARY_MAP,BnF ark btv1b530412497; whole sheet; title cartouche and the MARQUISAT DE MISNIE wash bloc,GEOREFERENCED,"ACQUIRED AND VERIFIED (MAPGEN-012, 2026-08-12): 7865x6017 px, sha256 022986c4969242da..., prime meridian FERRO (20 deg west of Paris) confirmed empirically against Dresden. Hand-coloured political outlines are the shape authority; the sheet's own graticule is the georeference authority."
hsrc_2c9c85d8d538,utrecht_1756_seat_of_war_saxony_map,"A new and accurate map of Saxony, part of Brandenburg, Silesia, Poland and Bohemia: exhibiting the present seat of war between the Prussians and Austrians",printed for J. Hinton (London); held by Utrecht University Library,1756,1756 theatre of war,,"Saxony, Brandenburg, Silesia, Bohemia","NOT VERIFIED — the repository record's DC.rights field contains a place name ('[London]'), so no reuse condition could be established; nothing was downloaded.",https://dbc.library.uu.nl/handle/20.500.14918/430596,,BOUNDARY_AUTHORITY_CANDIDATE,CONTEMPORARY_MAP,"Utrecht UB identifier 028879, handle 20.500.14918/430596",UNKNOWN,"Record verified to exist (TIFF, Utrecht UB, 1756). Intended as independent corroboration of the Saxony/Brandenburg/Bohemia boundaries; NOT acquired in this run because the licence could not be verified."
hsrc_79b470dbf941,zollmann_1747_thuringiae_orientalis_bnf,"Thuringiae Orientalis Tabula Geographica (Sectio Inferior et Sectio Superior), dedicated to Friedrich Christian, Electoral Prince of Saxony","Johann Wilhelm Zollmann (cartographer); Christian Friedrich Oetinger (engraver); Homann Heirs, Nuremberg (publisher); Bibliotheque nationale de France (holding)",1747,1747/1747,"Milliaria communia quorum 15 in uno gradu (approx. 1:200,000)","Eastern Thuringia: Duchy of Weimar, Eisenach northern and eastern parts, Principality of Querfurt, Territory of Erfurt, County of Beichlingen (sectio inferior); Comitatus Schwarzburgicus Superior, Blankenhayn, Kranichfeld, Remda (sectio superior)","Public-domain work; Gallica conditions of use (free re-use for non-commercial purposes, commercial re-use requires a BnF licence). Raster NOT redistributed in this repository.",https://gallica.bnf.fr/ark:/12148/btv1b5971578k,data/raw/historical_maps/zollmann_1747_thuringia/,BOUNDARY_AUTHORITY_CANDIDATE,CONTEMPORARY_TO_1747_NOT_TO_1756,"BnF, departement Cartes et plans, GE BB-565 (3, 21-22); catalogue ark:/12148/cb40663410w; digital object ark:/12148/btv1b5971578k, 2 views (f1 5751x4431, f2 5721x4441)",DEFERRED_AFTER_BOUNDED_ATTEMPT,"Acquired and audited in MAPGEN-014. Section titles read off the raster: f1 'SECTIO INFERIOR, DVCATVM VINARIENSEM nec non ISENACENSIS Partes Boreales et Orientales, PRINCIPATVM QVERFVRTENSEM, ut et Territorium ERFVRTENSE, COMITATVM BEICHLINGEN'; f2 'SECTIO SVPERIOR THVRINGIAE ORIENTALIS, in qva COMITATVS SCHWARZBVRGICVS SVPERIOR'. Prime meridian stated on the sheet: 20 degrees west of Paris (Ferro)."
hsrc_a5816e9281d6,ndb_24_2010_schwarzburg_grafen_von,"Schwarzburg, Grafen von (Neue Deutsche Biographie 24)",Andreas Klinger; Historische Kommission bei der Bayerischen Akademie der Wissenschaften / Deutsche Biographie,2010,1195/1918,,Thuringia,"Scholarly reference work consulted online; not redistributed. Cited, not copied.",https://www.deutsche-biographie.de/sfz120055.html,,SCHOLARLY_AUTHORITY,MODERN_SCHOLARSHIP,"Neue Deutsche Biographie 24 (2010), pp. 12-14, art. 'Schwarzburg, Grafen von' by Andreas Klinger",NOT_APPLICABLE,"Authority for the 1599 Stadtilm partition into the lines Schwarzburg-Rudolstadt and Schwarzburg-Sondershausen, for the Reichsfuerstenstand elevations (1697 Sondershausen, 1710 Rudolstadt) and for seat and vote in the Reichsfuerstenrat from 1754."
hsrc_1bead8f288ea,landesarchiv_thueringen_staatsarchiv_rudolstadt,"Landesarchiv Thueringen - Staatsarchiv Rudolstadt, online finding aids (Archivportal Thueringen)",Landesarchiv Thueringen,2024,1500/1918,,Schwarzburg lands,Finding aids consulted online; archival records not reproduced.,https://www.archive-in-thueringen.de/en/archiv/view/id/210,,ARCHIVAL_FINDING_AID,PRIMARY_RECORD_DESCRIPTION,"Landesarchiv Thueringen - Staatsarchiv Rudolstadt (archive id 210); holdings for Schwarzburg-Rudolstadt and Schwarzburg-Sondershausen before 1918/20, incl. records of joint border inspections by the foresters of both principalities",NOT_APPLICABLE,"Supporting authority that the two principalities were separate administrations sharing a common border. Used at collection level only - no individual signature is cited, because none was verified item by item."
hsrc_d43582bd894f,landesarchiv_thueringen_landesregierung_eisenach_b26508,"Landesregierung Eisenach (Bestand), Archivportal Thueringen / Landesarchiv Thueringen",Landesarchiv Thueringen - Hauptstaatsarchiv Weimar,2024,1640/1850,,Saxe-Eisenach,Finding aid consulted online; records not reproduced.,http://www.archive-in-thueringen.de/de/findbuch/view/bestand/26508/vorwort/1,,ARCHIVAL_FINDING_AID,PRIMARY_RECORD_DESCRIPTION,"Archivportal Thueringen, Bestand 26508 'Landesregierung Eisenach'",NOT_APPLICABLE,"The Eisenach superior authorities (Regierung, Kammer, Oberkonsistorium) administered the Eisenach Landesteil as a separate set of central authorities and were dissolved only by the administrative reform of 1849/50, when all superior authorities were concentrated in Weimar and the Eisenach archive was transferred (1850, 1866). CAVEAT: the Vorwort page could not be rendered directly; this summary comes from the portal's indexed description, so it is recorded at collection level with MEDIUM confidence."
hsrc_99679105b343,bnf_authority_saxe_weimar_duche,Saxe-Weimar (Duche) - BnF authority record,Bibliotheque nationale de France,2012,1556/1918,,Saxe-Weimar,"catalogue record, cited not reproduced",https://catalogue.bnf.fr/ark:/12148/cb151032140,,LIBRARY_AUTHORITY_RECORD,MODERN_CATALOGUING,"BnF authority ark:/12148/cb151032140, FRBNF15103214, note publique",NOT_APPLICABLE,"States that the 1741 reunion of Saxe-Weimar and Saxe-Marcksuhl properties formed the duchy of Saxe-Weimar-Eisenach. This is a CATALOGUING heading, not a constitutional finding, and is weighed as such."
hsrc_7912efc88450,deutsche_biographie_ernst_august_ii_sachsen_weimar_eisenach,"Ernst August II. (Constantin), Herzog von Sachsen-Weimar-Eisenach - Deutsche Biographie",Deutsche Biographie / Historische Kommission bei der BAdW,2024,1737/1758,,Saxe-Weimar-Eisenach,"cited, not reproduced",https://www.deutsche-biographie.de/sfz39202.html,,SCHOLARLY_AUTHORITY,MODERN_SCHOLARSHIP,"Deutsche Biographie index entry sfz39202, 'Ernst August II.', 1737-1758, styled 'Herzog von Sachsen-Weimar-Eisenach'",NOT_APPLICABLE,"Establishes WHO ruled at the snapshot date and under which style. A ruler's style is not a statement about territorial sovereignty, and is not used as one. The page consulted is an index entry, not the full biographical article."
hsrc_aff64e52a076,ieg_mainz_hgisg_sachsen_weimar_eisenach,"Sachsen-Weimar-Eisenach, eKompendium HGISG",Institut fuer Europaeische Geschichte (IEG) Mainz,2011,1741/1918,,Thuringia,"cited, not reproduced",https://www.hgisg-ekompendium.ieg-mainz.de/Dokumentation_Datensaetze/Multimedia/Staaten/Sachsen-Weimar-Eisenach.php,,SCHOLARLY_AUTHORITY,MODERN_SCHOLARSHIP,"eKompendium HGISG, entry Sachsen-Weimar-Eisenach",NOT_APPLICABLE,Direct territorial statement for the 1741 accession of the Eisenach towns and Aemter and the adoption of the composite name.
hsrc_61694c6b1c6c,geonames_cities15000,GeoNames cities15000,GeoNames,2026,modern,,global,CC BY 4.0; already held at data/raw/geonames_cities15000,https://www.geonames.org/,data/raw/geonames_cities15000/cities15000.txt,MODERN_POINT_REFERENCE_ONLY,MODERN_GAZETTEER,"cities15000.txt, DE rows",NOT_APPLICABLE,Used ONLY as point references for historical map symbols. Modern administrative boundaries are never used.
hsrc_a6ea66a39f18,vaugondy_1756_empire_allemagne_dix_cercles,Carte de l'Empire d'Allemagne divise en ses dix cercles,Robert de Vaugondy,1756,UNVERIFIED,empire overview,Holy Roman Empire,NOT VERIFIED - raster not acquired,,,VISUAL_QA_ONLY,CATALOGUE_DATED_1756,David Rumsey list no. 3353.056,NOT_ACQUIRED,Corroboration candidate for Brandenburg existence and macro boundaries only.
hsrc_d22d155bbd4a,vaugondy_1751_haute_saxe_septentrionale_pomeranie_brandebourg,Partie septentrionale du cercle de Haute-Saxe qui contient le duche de Pomeranie et le marquisat de Brandebourg,Didier Robert de Vaugondy; Bibliotheque nationale de France (holding),1751,UNVERIFIED,engraved scale bars: milles geometriques de 60 au degre; lieues communes d'Allemagne de 15 au degre; grandes lieues d'Allemagne de 12 au degre; grandes lieues de Suede de 10 au degre,"Brandenburg and Pomerania, with an inset supplement for the Vieille Marche and Quartier de Pregnitz",Public-domain work; Gallica conditions of use. Raster NOT redistributed in this repository.,https://gallica.bnf.fr/ark:/12148/btv1b53041280v,data/raw/historical_maps/vaugondy_brandenburg/,BOUNDARY_AUTHORITY_CANDIDATE,PLATE_DATED_1751_NOT_TO_1756,"BnF, dept Cartes et plans, GE DD-2987 (3790), Collection d'Anville 03790; ark btv1b53041280v, 1 view 7941x6135; title cartouche 'Avec Privilege. 1751'",GEOREFERENCED_VALIDATED,"Acquired in MAPGEN-017. The sheet carries a numbered degree graticule on all four borders, unlike the Zollmann sheets. It also states in its own note that Swedish Pomerania comprises the duchy of Bardt, the county of Gutzkow and the duchy of Stettin - so the map itself warns against assigning Pomerania to Brandenburg."
hsrc_a82a692f2890,lotter_c1758_mappa_electoratum_brandenburgensem_blha,"Mappa Geographica exhibens Electoratum Brandenburgensem sive Marchiam Veterem, Mediam et Novam, nec non Marchiam Ukeram","Matthaeus Albrecht Lotter (engraver); Tobias Conrad Lotter, Augsburg (publisher); Brandenburgisches Landeshauptarchiv (holding)",ca. 1758,UNVERIFIED,"approx 1:550,000 (catalogue statement)","Electorate of Brandenburg: Altmark, Mittelmark, Neumark, Uckermark",NOT VERIFIED - not acquired,https://www.deutsche-digitale-bibliothek.de/item/3VW5PBNXDTZUCCWXTNQ2NX2MAEUSX3AD,,BOUNDARY_AUTHORITY_CANDIDATE,CATALOGUED_CA_1758_NOT_TO_1756,DDB item 3VW5PBNXDTZUCCWXTNQ2NX2MAEUSX3AD; original copper engraving at BLHA (signature not verified),NOT_ACQUIRED,"The independent-lineage candidate: Augsburg Seutter/Lotter house, not the French Vaugondy line. Its date is LATER than the snapshot, so it would need continuity in the other direction."
hsrc_a01a2b3eef3d,osm_land_polygons_split_3857,OpenStreetMap coastline-derived land polygons (land-polygons-split-3857),OpenStreetMap contributors / osmdata.openstreetmap.de,2024,2024,,Global (Europe subset used),ODbL. Used as PHYSICAL GEOGRAPHY SUBSTRATE only; not redistributed.,https://osmdata.openstreetmap.de/data/land-polygons.html,data/raw/osm_land_polygons/land-polygons-split-3857,TOPOGRAPHIC_GEOREFERENCE_ONLY,MODERN_GAZETTEER,canonical Europe land cache output/europe_land_cache/europe_land_parts.parquet,NOT_APPLICABLE,The coastline is the SHAPE of a landmass and nothing more. It carries geometry_authority and never political authority: the existence of a coast has never made anyone its owner.
hsrc_7c6f3e8a56e3,legislation_gov_uk_apgb,legislation.gov.uk - Acts of the Parliament of Great Britain and Acts of the English Parliament,The National Archives (UK),2026,1706-1800,,Great Britain,Open Government Licence v3.0,https://www.legislation.gov.uk/,,SCHOLARLY_AUTHORITY,PRIMARY_RECORD_DESCRIPTION,per-assertion Act citation and article/long title,NOT_APPLICABLE,Official text of the statutes themselves.
hsrc_a844d4767e20,irish_statute_book_pre_union,"electronic Irish Statute Book (eISB), Pre-1922 Legislation",Office of the Attorney General (Ireland),2026,1310-1800,,Ireland,Oireachtas copyright material reproduced with permission; Open Data Licence,https://www.irishstatutebook.ie/eli/pre-acts.html,,SCHOLARLY_AUTHORITY,PRIMARY_RECORD_DESCRIPTION,per-assertion Act chapter and section,NOT_APPLICABLE,Official text of pre-Union Irish statutes retained in force.
hsrc_585c749941c5,guida_generale_archivi_stato_palermo,Guida generale degli Archivi di Stato italiani - Archivio di Stato di Palermo,Ministero della Cultura (Italy),2026,1547-1826,,Kingdom of Sicily,"Public institutional finding aid; consulted online, not redistributed.",http://www.guidageneralearchivistato.beniculturali.it/,,ARCHIVAL_FINDING_AID,PRIMARY_RECORD_DESCRIPTION,per-assertion fondo name and estremi cronologici,NOT_APPLICABLE,Describes the surviving record series of the Kingdom of Sicily's own governing organs.
hsrc_4ffa40da6904,sias_archivio_di_stato_cagliari,"SIAS - Sistema Informativo degli Archivi di Stato, Archivio di Stato di Cagliari",Ministero della Cultura (Italy),2026,1323-1868,,Kingdom of Sardinia (island),"Public institutional finding aid; consulted online, not redistributed.",https://sias-archivi.cultura.gov.it/,,ARCHIVAL_FINDING_AID,PRIMARY_RECORD_DESCRIPTION,per-assertion fondo name and estremi cronologici,NOT_APPLICABLE,"Describes the Savoyard government record series for the island, opening in 1720 with the exchange."
hsrc_1405c6fc82b4,european_peace_settlements_1720_1738,The peace settlements of 1720 (The Hague) and 1738 (Vienna) governing the Mediterranean island exchanges,European diplomatic instruments as reported in standard settlement histories,,1718-1738,,Sicily and Sardinia,"Cited, not reproduced.",,,SCHOLARLY_AUTHORITY,PRIMARY_RECORD_DESCRIPTION,"per-assertion treaty, date and clause",NOT_APPLICABLE,"Sovereignty title for each island. The two islands were swapped between the same two powers within eighteen years, which is exactly why ownership may not be inferred from a dynasty's name."
hsrc_3a87623ff865,wenck_codex_juris_gentium_recentissimi_i,"Codex iuris gentium recentissimi, e tabulariorum exemplorumque fide dignorum monumentis compositus. Tomus primus, continens diplomata inde ab a. MDCCXXXV usque ad a. MDCCXLIII",Friedrich August Wilhelm Wenck,1781,1735-1743,,European treaty instruments; Acta Pacis Vindobonensis,"Public institutional source / documentary edition; cited, not redistributed.",https://archive.org/details/fridaugguilwenck13wenc,,DOCUMENTARY_EDITION_FROM_ARCHIVES,PRIMARY_RECORD_DESCRIPTION,"per-assertion document number, article and page",NOT_APPLICABLE,"Wenck states his own provenance in the section footnote: the acts are printed from the authentic 98-page folio exemplar that Charles VI communicated to the Imperial Estates at Regensburg on 7 March 1740, collated against the authentic French edition (Paris, Imprimerie royale, 1759, 243 pp.), and he refers both exemplars to two public archives (utrumque exemplum binis tabulariis publicis acceptum refero). That is why this replaces a narrative history."
hsrc_a7c2cd195764,asto_corte_paesi_sardegna,"Archivio di Stato di Torino, Sezione Corte, fondo Paesi - Sardegna",Archivio di Stato di Torino (Ministero della Cultura),2026,1323-1848,,Kingdom of Sardinia (island) under Savoyard rule,"Public institutional source / documentary edition; cited, not redistributed.",https://archiviodistatotorino.cultura.gov.it/,,ARCHIVAL_FONDS,PRIMARY_RECORD_DESCRIPTION,"per-assertion sezione, fondo, materia, categoria, mazzo and item number",NOT_APPLICABLE,"Ancien-Regime subject series formed by the eighteenth- and nineteenth-century archivists: Materie politiche per rapporto all'interno / all'estero, Materie ecclesiastiche, economiche, giuridiche, militari, and Paesi."
hsrc_d29599d7a12a,lovsamling_for_island_i,"Lovsamling for Island, indeholdende Udvalg af de vigtigste aeldre og nyere Love og Anordninger. Forste Bind, 1096-1720","Oddgeir Stephensen og Jon Sigurdsson (eds.), Copenhagen",1853,1096-1720,,Iceland,"Public institutional source / documentary edition; cited, not redistributed.",https://archive.org/details/lovsamlingforis07hallgoog,,DOCUMENTARY_EDITION_FROM_ARCHIVES,PRIMARY_RECORD_DESCRIPTION,per-assertion page and document heading,NOT_APPLICABLE,"The standard critical edition of the laws, ordinances and royal instruments for Iceland. Each document carries its own manuscript provenance note."
hsrc_c8be7c4cd248,thjodskjalasafn_skjalasafn_amtmanns,"Thjodskjalasafn Islands, Skjalasafn amtmanns yfir landinu ollu 1688-1770",Thjodskjalasafn Islands (National Archives of Iceland),2011,1688-1770,,Iceland,"Public institutional source / documentary edition; cited, not redistributed.",https://heimildir.is/wp-content/uploads/r_skjalasafn_amtmanns.pdf,,ARCHIVAL_FONDS,PRIMARY_RECORD_DESCRIPTION,"per-assertion series, box and dated item, in the archive's own citation form",NOT_APPLICABLE,"Fonds of the amtmadur over all Iceland. Arrangement and citation form are taken from the archive's own published finding aid: Nanna Thorbjorg Larusdottir, Skjalasafn amtmanns yfir landinu ollu 1688-1770, Rit Thjodskjalasafns Islands, ed. Kristjana Kristinsdottir, 2011, ISSN 2298-5972."
