land_fragment_id,parent_hex_id,land_subject_or_component_id,canonical_water_type,is_terrestrial_hex,land_area_km2,land_fraction_of_hex,geometry_sha256,geometry_source,identity_algorithm_version
lfr_a0dc2f2c2fd4a5,h6000_q-000721_r+001243,hsub_great_britain_main_island,OCEAN,False,0.117335195,0.009132,1ad33e9338c7ca003dcae99c4daa03d06fd24b4654c6c3774e791e02477db2e5,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_423bf34701eca6,h6000_q-000720_r+001243,hsub_great_britain_main_island,OCEAN,False,4.923909488,0.383043,92008a4c90bbc7c05a82b3882d29177ae068d130ca982213389cd45a06161ebc,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_53665e7d72f54b,h6000_q-000715_r+001243,hsub_great_britain_main_island,OCEAN,False,0.033517402,0.002707,5330efb302ada6cd0c2feada3866314b9c7d6cf5ac7ee322cc53b342d8e32f3c,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_4dcc27a32868b6,h6000_q-000728_r+001244,hsub_great_britain_main_island,OCEAN,False,1.872752011,0.145846,95b4c0c4df9031981dff99e399eb096dd0571f4bb5c9e7e2a974299af59543c5,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_1ea679f81feccf,h6000_q-000723_r+001244,hsub_great_britain_main_island,OCEAN,False,3.344011289,0.260885,a930facf9cb1fafced22f9275d534279cc922e7ca015c8f74d04f1710326ef5c,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_8ba7b4a57aebe5,h6000_q-000716_r+001244,hsub_great_britain_main_island,OCEAN,False,0.528117261,0.041155,094530d83b67a9189f549f2393b2a4d9b088fedaf269a22d8cfe40f3fdf3a3a9,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_be52baaf1e8673,h6000_q-000716_r+001245,hsub_great_britain_main_island,OCEAN,False,0.301465643,0.023526,151894b1c773c229a0407c09bdf03d1a8ee75ee98c1fb4ef0b5860e6abd58e0b,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_1bbc0b18660887,h6000_q-000715_r+001245,hsub_great_britain_main_island,OCEAN,False,0.436737487,0.034058,45232444fadae44a39451226f39e85ee4db71ccbde8b922c563e5d458188e977,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_7db91eceaa33ee,h6000_q-000729_r+001246,hsub_great_britain_main_island,OCEAN,False,0.027283497,0.002129,79d4166c693bcd4c5cf2501790f6568ac95cd4aac7ea1cbbcea1c59270d3bb7c,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_5365ef20e1b9d5,h6000_q-000715_r+001246,hsub_great_britain_main_island,OCEAN,False,1.478366894,0.115426,a50a2fd4b985ad137c4e0ffdc75bc58b466568d862fc3fa661d99e6ba42251d2,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_4add98291053d3,h6000_q-000728_r+001247,hsub_great_britain_main_island,OCEAN,False,0.237231335,0.018598,1a306930d541a167de0e1e2e135cd337f6f3b1e5e03f00fa1b567f8785fe815c,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_c0a1f12c139c87,h6000_q-000717_r+001247,hsub_great_britain_main_island,OCEAN,False,5.59356351,0.43725,c18c66d59dc52b2d19fd08fa48c9f58918527471c1e4dad9d92c11ee37b90b94,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_a258b960132b98,h6000_q-000715_r+001247,hsub_great_britain_main_island,OCEAN,False,1.702627837,0.133863,0437b4db922544b54c12fa1a14e18dada425618302120c5eb4532eb433e4b0d9,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_101fa91b416ed2,h6000_q-000727_r+001248,hsub_great_britain_main_island,OCEAN,False,1.563425647,0.122661,77d3aaca906a331dbdd35fde88f44be943f6de32bc1dcb1ac71b2b480728afda,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_10870a9402a85f,h6000_q-000726_r+001248,hsub_great_britain_main_island,OCEAN,False,3.920688113,0.306849,5be6decba7cb8300386044a02f9c39e10c39ce769b3f8396299e02f7621466f6,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_ac359fe475740e,h6000_q-000714_r+001248,hsub_great_britain_main_island,OCEAN,False,1.577677746,0.123741,ca031dafffd2b76a6f01e7642e16beb5f6dec8850a0e5af10d9f05f7b2b97844,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_6940d491928a68,h6000_q-000713_r+001248,hsub_great_britain_main_island,OCEAN,False,3.000356175,0.234912,5e13d02cef075fd6f477a513338592f5f07921db4a0131037f773a35811bae50,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_05cb64bd360392,h6000_q-000725_r+001249,hsub_great_britain_main_island,OCEAN,False,0.014141378,0.001957,15652186522ef120e9c2cf881f3d2d0e1251db0e08dda266aec20d112ab30031,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_18d9f5f13edb03,h6000_q-000724_r+001249,hsub_great_britain_main_island,OCEAN,False,1.204159278,0.094872,9fdf774c3033fcbc4e76038519ac0b554bfc97aea0338c63a80b7813fb1cb43a,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_51aef3f2006a51,h6000_q-000713_r+001249,hsub_great_britain_main_island,OCEAN,False,3.579321601,0.280571,76f4e5f58d90088d4b6a8b248a5eab015b91152835f08f21b51a35afa1181431,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_9e77c7cb5fba2e,h6000_q-000723_r+001250,hsub_great_britain_main_island,OCEAN,False,2.137799874,0.168202,e0ccfb347f3dcc6572c0db9f21d40e8f7d605397b5435363eefd29b908d9779d,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_b49aa3997d3fab,h6000_q-000700_r+001250,hsub_great_britain_main_island,OCEAN,False,0.947230288,0.074663,abfdbd17fe7d06f006b393bf245a164ceaf115d0c3c6f7cce55ce84b96be1731,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_ddc938dd10ede8,h6000_q-000723_r+001251,hsub_great_britain_main_island,OCEAN,False,0.985117634,0.077459,02f18b9a48c2f8f32af54076d2c3d9a9bb5a41c8b8bc503cce96c47d7ade4451,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_65f8f820557441,h6000_q-000712_r+001251,hsub_great_britain_main_island,OCEAN,False,1.967394491,0.155074,c8ac079e0438e03bcf6aa79895c67cbe81162a6b2824d868c3d50d118e566ed1,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_db30071cf14d00,h6000_q-000711_r+001251,hsub_great_britain_main_island,OCEAN,False,0.588470131,0.046254,74fb78b66808d115e04e6aeb1da8117777203ea9ab03b0e52e0510ebdc392003,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_41d447ddd5c8bb,h6000_q-000710_r+001251,hsub_great_britain_main_island,OCEAN,False,0.67940017,0.053577,90c1e24d580a9a47a8a067b8a48e1c9f5f7fe35e1f2405b59306847a90ebbb29,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_8cf9e1df36df38,h6000_q-000709_r+001251,hsub_great_britain_main_island,OCEAN,False,0.000587474,6.4e-05,67aa79891fac87f7eb9c4368f2babe373627b67b576c394319ed63661e34628c,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_977693b9e7987c,h6000_q-000704_r+001251,hsub_great_britain_main_island,OCEAN,False,1.298783594,0.102155,00ad3df8749133913a2c2e7b7376772df4cc277b16575dac1405e6be1ba242d1,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_2a66e848a14820,h6000_q-000703_r+001251,hsub_great_britain_main_island,OCEAN,False,0.656359755,0.051674,4665be7ae6975800f34985b9013451382629ac3d6b3c3ef73e2b6931174894eb,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_94d2b1357b5582,h6000_q-000702_r+001251,hsub_great_britain_main_island,OCEAN,False,1.64709846,0.132209,b6268fa6158f49e0de22dc844dbd73589e6a9636ca1b0e7397daaddd9b83cad1,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_e148ba21f04523,h6000_q-000722_r+001252,hsub_great_britain_main_island,OCEAN,False,5.801746439,0.456993,4a78c6598a5c3d0909bde08c9f804d5d24b9a1a7cb173a8383f374319c54caf5,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_1bd43ba461aa80,h6000_q-000707_r+001252,hsub_great_britain_main_island,OCEAN,False,0.017654723,0.00139,806a801999eb0e83653fce3c3bceecee5930ac19c29ae909523a4b22b05ca282,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_ff663578b68b95,h6000_q-000705_r+001252,hsub_great_britain_main_island,OCEAN,False,4.15686984,0.327128,8a8ba48c347365c1dcdd8c2792bdcf5fad81dd145977de904b646052c4320d26,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_eefc508fc0fe01,h6000_q-000703_r+001252,hsub_great_britain_main_island,OCEAN,False,1.023756718,0.082968,ada99906850cd15ce22a266d4c13f4815604809c1fec1c03a47f87ae53e6b628,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_2302bf41af2c17,h6000_q-000723_r+001254,hsub_great_britain_main_island,OCEAN,False,0.068464543,0.008001,a3d30f21a9b52a737d817e7c190346586c4a724ff8696f582d69501876990c8d,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_826724245a0a51,h6000_q-000722_r+001255,hsub_great_britain_main_island,OCEAN,False,1.09925456,0.087057,3c4281ef5a5b4afd59a89664e350d5616cf40e47c5e7f4b9717b3fc79cb3630b,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_1cc80800b6c06b,h6000_q-000722_r+001256,hsub_great_britain_main_island,OCEAN,False,0.18280755,0.014631,a88863ef1abb58fde56866ec2dbf40fe134b5bd5162ef35153d280c618a33e3a,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_8c13ad4ef25b6f,h6000_q-000722_r+001257,hsub_great_britain_main_island,OCEAN,False,5.561608131,0.442485,89587f567b5eb9cf06459dc35e89a419ff494ec764934c339518bb8a942cd060,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_0955c10bf39bad,h6000_q-000723_r+001259,hsub_great_britain_main_island,OCEAN,False,1.652840974,0.132574,ba43ba0c89d0987bdb6cb889426c5099599e0cc3df8b062aab5bff35f442cdca,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_073a58b145b3ae,h6000_q-000722_r+001259,hsub_great_britain_main_island,OCEAN,False,5.867510025,0.466607,58b4fea5b3344f7533f67439061c2dbcc56fab12ff87424bd56ae50b905735bc,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_6eea84374f5f4c,h6000_q-000722_r+001260,hsub_great_britain_main_island,OCEAN,False,0.691634345,0.055747,ef3fbb52c4436c188ef392ff68e4d2430667745b4cb2103e7e718c51779f12a8,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_372e1aca2e215e,h6000_q-000722_r+001261,hsub_great_britain_main_island,OCEAN,False,0.05492317,0.005705,c2462730d39e7570f363359f8f379f659401ee07a4f9465dec6016437e156da5,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_ca7ce96c91a3a2,h6000_q-000721_r+001261,hsub_great_britain_main_island,OCEAN,False,0.128832365,0.010256,0f3fd9e33cfb8217c02198f5fc313877bc2bd06a0ebbedf535d364a5519e088e,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_3ea0291fb1985d,h6000_q-000720_r+001261,hsub_great_britain_main_island,OCEAN,False,1.025942504,0.081616,4e49c273bc6c4bb36848fd0e600e9bbc02cc2788aae0942f2bb9f56b7e603c8d,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_20262b98ffbed8,h6000_q-000720_r+001262,hsub_great_britain_main_island,OCEAN,False,0.055037852,0.004701,0aa39bc17ec466ea06cc4b96cb7ce0083394388929935e01ce0303ea3fbfe31a,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_6b5cff5c45ee40,h6000_q-000720_r+001263,hsub_great_britain_main_island,OCEAN,False,2.615244107,0.217225,26b43e7bd6357a97a1da17769bddc87f28d59f4ff585e6cda1fb9804aef3f256,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_69892bd5dae86f,h6000_q-000720_r+001264,hsub_great_britain_main_island,OCEAN,False,0.002444178,0.000564,f994062e5fa149b18305b28c3ee7e39588483ee74acb0c9b1ee8dde3c4e79438,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_ba9613b2ac923d,h6000_q-000719_r+001264,hsub_great_britain_main_island,OCEAN,False,6.17321589,0.493371,feaac3670dd04eeee9a78b9bef23923877079ad3cf80eedb72c2c308a9bfe192,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_adf1975a500010,h6000_q-000719_r+001265,hsub_great_britain_main_island,OCEAN,False,3.814134511,0.311041,de5c671e0510d734bc4ce680f45af99c379d1063fd760ad8fdca77af3acd250f,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_a4f009ee560f65,h6000_q-000719_r+001266,hsub_great_britain_main_island,OCEAN,False,2.69336248,0.215593,f4a3acdbb303bc600e532722e14cf89f158c991378296a28b5c9b897dded9755,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_9692a06f603bfa,h6000_q-000719_r+001268,hsub_great_britain_main_island,OCEAN,False,0.465848987,0.037379,beea2fdba1f367c5e0a9fb692b4cfa3d755e03c01c0b31025d3ab51f8b860a1d,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_770ebe1d3c4be0,h6000_q-000720_r+001270,hsub_great_britain_main_island,OCEAN,False,0.975849656,0.078553,bea84be9c7cf56041956bc41ffe4be71f0e58cc7162968b084ad2bbb61ef0b9f,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_dca169ef8057ed,h6000_q-000721_r+001272,hsub_great_britain_main_island,OCEAN,False,0.000381308,0.000371,f7f22eeced68bb14f3caffba9be2b5dfedf9d1fa105fb7cc8a878b4095ee9da5,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_20ff0596579570,h6000_q-000721_r+001273,hsub_great_britain_main_island,OCEAN,False,1.736249132,0.140526,80f70d264affb80df92519d789070c8f1b3048540408c7b8c29aabaaa5b64ed3,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_ab85e4fa5f1903,h6000_q-000718_r+001274,hsub_great_britain_main_island,OCEAN,False,5.620953535,0.454312,05c114a5d7a4d735115729e88b2b6bb424169b9220e2e6fb69ebc285628611ac,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_d59bee63b8b05a,h6000_q-000722_r+001275,hsub_great_britain_main_island,OCEAN,False,0.025599927,0.00211,ef51997512fae49aae14523903812faa3c0e3fc60de29cf297a56017d02d2b06,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_7d20cf407ae8aa,h6000_q-000721_r+001275,hsub_great_britain_main_island,OCEAN,False,5.911663928,0.478587,5f5edba83b58330fffef8fa81a5703303739d9ac19fac04c5b6c0e8c753f774b,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_4ab65b1172c2d3,h6000_q-000720_r+001275,hsub_great_britain_main_island,OCEAN,False,3.818765785,0.309065,96bc692d5997b32eda8c9f346a1cc79e863a04db6ef159371dbbe90568622d94,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_5eb84f94f86dba,h6000_q-000719_r+001275,hsub_great_britain_main_island,OCEAN,False,6.1804e-05,5e-06,cb10699bbb9bd01c5cd3fdd13145bbeafa3dbe4a4509bd66be10cdff1548f744,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_1855abdbb78e55,h6000_q-000717_r+001275,hsub_great_britain_main_island,OCEAN,False,3.988661534,0.322818,e029852545ecbf5b5614200783038755e640549b3d0e1e00e370c459a7fe1aae,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_d0b87be93a3601,h6000_q-000717_r+001276,hsub_great_britain_main_island,OCEAN,False,1.292501847,0.104718,2afb638addb3065f12f708738cce9e714a84418b7b4e33b0330f8603a7f3dca2,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_db1b341289e909,h6000_q-000717_r+001277,hsub_great_britain_main_island,OCEAN,False,2.548388601,0.206846,ea412c7c9c8a4729b71e83c7ed1744c3b894577d2a76f967940f9c89be5d201b,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_e9b770cb80b2b1,h6000_q-000718_r+001278,hsub_great_britain_main_island,OCEAN,False,0.116537073,0.009473,552de23e86d61ea105112876a2a4dcf75896758eab357a43a6e543942be5f8bf,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_384a0657bc605c,h6000_q-000719_r+001279,hsub_great_britain_main_island,OCEAN,False,0.057681334,0.004694,f64a6a5e9fd152e0568024b475da2749755d4ca28520431b8c9454e9368e891b,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_821c524b85334c,h6000_q-000719_r+001281,hsub_great_britain_main_island,OCEAN,False,1.025877497,0.083761,a133675187dc6472f608d8bd46b8387383e9ba83c17e9e7afc3ae8af5da2d66f,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_51bfacdae57e8a,h6000_q-000717_r+001282,hsub_great_britain_main_island,OCEAN,False,1.037035569,0.086114,d46f574596167e506a6a4ea772877d0da974380fe2d213c98cf9cce0bca3321d,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_806468b52ff321,h6000_q-000716_r+001282,hsub_great_britain_main_island,OCEAN,False,0.342854457,0.028223,fa7785bae76561bcd544f68ae7b053d5f96ebc0d85ba0bb47e4c472fabc73e81,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_fe2200c3fc9e38,h6000_q-000726_r+001293,hsub_great_britain_main_island,OCEAN,False,1.286943212,0.106753,64e57ef4259cdbe403845f16faaa8fc1698e470ee1848706da21508a6213f58f,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_b5a5b8bd5bfd31,h6000_q-000724_r+001293,hsub_great_britain_main_island,OCEAN,False,6.013527003,0.498139,d7417bc60ad7ebb09a34a5910b191df438b6b0ec54252b87896215d1a79045d8,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_e40044a864d0de,h6000_q-000723_r+001293,hsub_great_britain_main_island,OCEAN,False,0.153282999,0.012694,973cc17f2468ee373f84e73ed2d18935b6dffd440bfe56cbe2616d035244a17f,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_b41ed33e3174a2,h6000_q-000722_r+001293,hsub_great_britain_main_island,OCEAN,False,0.771027376,0.063892,ac83bef53a789203937f562e69c12f5a4fa65102b92fe57efc4713fdc273d234,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_654259a8245ccc,h6000_q-000721_r+001293,hsub_great_britain_main_island,OCEAN,False,0.075930516,0.006293,e0410276ad06cab48135a9e0316e8a0882974d1e1d783a59efb047bcb3dff77a,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_4b81450a8ba11b,h6000_q-000727_r+001294,hsub_great_britain_main_island,OCEAN,False,1.493394833,0.133406,28477a7820cd72387ffe288faa148e5203a00f8d970478c4a83cec67ddeab107,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
